0,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,filter,rsv,k,d
0.0,2022-03-01,5457112.0,762927143.0,139.0,141.5,138.0,139.5,+3.00,3817.0,False,,,
23.0,2022-03-01,5457112.0,762927143.0,139.0,141.5,138.0,139.5,+3.00,3817.0,False,0.022388059701492536,0.5503127840065992,0.7429094306176212
1.0,2022-03-02,7961820.0,1127653445.0,138.5,143.5,138.5,143.0,+3.50,5774.0,False,,,
24.0,2022-03-02,7961820.0,1127653445.0,138.5,143.5,138.5,143.0,+3.50,5774.0,False,0.07462686567164177,0.39175081122828,0.6258565574878407
2.0,2022-03-03,11060271.0,1610654646.0,145.0,147.5,144.0,145.5,+2.50,10015.0,False,,,
25.0,2022-03-03,11060271.0,1610654646.0,145.0,147.5,144.0,145.5,+2.50,10015.0,False,0.11194029850746268,0.2984806403213409,0.5167312517656741
3.0,2022-03-04,6406232.0,929623810.0,144.0,147.0,143.5,144.5,-1.00,6318.0,False,,,
26.0,2022-03-04,6406232.0,929623810.0,144.0,147.0,143.5,144.5,-1.00,6318.0,False,0.09701492537313433,0.23132540200527205,0.4215959685122068
4.0,2022-03-07,6394560.0,886020892.0,144.0,144.5,136.0,138.0,-6.50,9311.0,False,,,
27.0,2022-03-07,6394560.0,886020892.0,144.0,144.5,136.0,138.0,-6.50,9311.0,False,0.028985507246376805,0.1638787704189736,0.3356902358144624
5.0,2022-03-08,17991402.0,2547670366.0,138.0,146.0,138.0,140.0,+2.00,14530.0,False,,,
28.0,2022-03-08,17991402.0,2547670366.0,138.0,146.0,138.0,140.0,+2.00,14530.0,False,0.05797101449275361,0.1285761851102336,0.2666522189130528
6.0,2022-03-09,17423187.0,2502696637.0,144.0,146.0,140.5,143.5,+3.50,15455.0,False,,,
29.0,2022-03-09,17423187.0,2502696637.0,144.0,146.0,140.5,143.5,+3.50,15455.0,False,0.10869565217391304,0.12194934079812675,0.21841792620807746
30.0,2022-03-10,19999938.0,2905727179.0,147.5,148.0,142.5,143.0,-0.50,18055.0,False,0.11199999999999999,0.11863289386541782,0.18515624876052425
7.0,2022-03-10,19999938.0,2905727179.0,147.5,148.0,142.5,143.0,-0.50,18055.0,False,,,
8.0,2022-03-11,6406660.0,920192881.0,143.5,146.0,142.0,143.0, 0.00,7479.0,False,0.5833333333333334,0.5277777777777778,0.5092592592592593
31.0,2022-03-11,6406660.0,920192881.0,143.5,146.0,142.0,143.0, 0.00,7479.0,False,0.5833333333333334,0.27353304035472303,0.2146151792919238
32.0,2022-03-14,6850408.0,990980102.0,144.0,146.5,143.0,145.0,+2.00,4983.0,False,0.75,0.432355360236482,0.2871952396067765
9.0,2022-03-14,6850408.0,990980102.0,144.0,146.5,143.0,145.0,+2.00,4983.0,False,0.75,0.6018518518518519,0.5401234567901234
33.0,2022-03-15,17733317.0,2532702484.0,146.5,147.0,138.5,138.5,-6.50,12332.0,False,0.2083333333333333,0.35768135126876577,0.3106906101607729
10.0,2022-03-15,17733317.0,2532702484.0,146.5,147.0,138.5,138.5,-6.50,12332.0,False,0.2083333333333333,0.4706790123456789,0.5169753086419753
34.0,2022-03-16,8665591.0,1198589193.0,142.0,142.5,135.5,137.0,-1.50,8096.0,False,0.12,0.27845423417917714,0.29994515150024104
11.0,2022-03-16,8665591.0,1198589193.0,142.0,142.5,135.5,137.0,-1.50,8096.0,False,0.12,0.35378600823045264,0.4625788751714677
35.0,2022-03-17,26003147.0,3768131500.0,141.5,150.0,140.0,148.5,+11.50,15352.0,False,0.8965517241379308,0.484486730832095,0.3614590112775257
12.0,2022-03-17,26003147.0,3768131500.0,141.5,150.0,140.0,148.5,+11.50,15352.0,False,0.8965517241379308,0.5347079135329453,0.4866218879586269
36.0,2022-03-18,44077185.0,6624762958.0,149.0,155.0,146.5,149.0,+0.50,29882.0,False,0.6923076923076923,0.5537603846572939,0.4255594690707818
13.0,2022-03-18,44077185.0,6624762958.0,149.0,155.0,146.5,149.0,+0.50,29882.0,False,0.6923076923076923,0.5872411731245276,0.5201616496805938
37.0,2022-03-21,29537856.0,4540340767.0,151.5,156.0,151.5,153.5,+4.50,22265.0,False,0.8780487804878049,0.6618565166007977,0.5043251515807871
14.0,2022-03-21,29537856.0,4540340767.0,151.5,156.0,151.5,153.5,+4.50,22265.0,False,0.8780487804878049,0.6841770422456199,0.5748334472022691
38.0,2022-03-22,35195607.0,5516607180.0,153.5,160.0,150.5,160.0,+6.50,24349.0,False,1.0,0.7745710110671984,0.5944071047429241
15.0,2022-03-22,35195607.0,5516607180.0,153.5,160.0,150.5,160.0,+6.50,24349.0,False,1.0,0.7894513614970801,0.6463727519672061
16.0,2022-03-23,81792550.0,13964359764.0,163.5,175.5,162.5,175.5,+15.50,52470.0,False,1.0,0.8596342409980533,0.7174599149774884
39.0,2022-03-23,81792550.0,13964359764.0,163.5,175.5,162.5,175.5,+15.50,52470.0,False,1.0,0.8497140073781322,0.6795094056213268
17.0,2022-03-24,61946445.0,10955424226.0,174.0,180.0,173.0,179.0,+3.50,36628.0,False,0.9775280898876404,0.8989321906279155,0.7779506735276307
40.0,2022-03-24,61946445.0,10955424226.0,174.0,180.0,173.0,179.0,+3.50,36628.0,False,0.9775280898876404,0.8923187015479681,0.7504458375968739
18.0,2022-03-25,42866430.0,7683399554.0,182.0,183.5,175.0,179.5,+0.50,25170.0,False,0.9166666666666666,0.9048436826408326,0.8202483432320312
41.0,2022-03-25,42866430.0,7683399554.0,182.0,183.5,175.0,179.5,+0.50,25170.0,False,0.9166666666666666,0.9004346899208675,0.8004421217048716
19.0,2022-03-28,43302360.0,7897533743.0,179.5,192.0,175.0,177.0,-2.50,27970.0,False,0.7345132743362832,0.8480668798726494,0.8295211887789038
42.0,2022-03-28,43302360.0,7897533743.0,179.5,192.0,175.0,177.0,-2.50,27970.0,False,0.7345132743362832,0.8451275513926727,0.8153372649341386
20.0,2022-03-29,42488844.0,8038462960.0,180.5,194.5,180.0,194.5,+17.50,26005.0,False,1.0,0.8987112532484329,0.8525845436020799
43.0,2022-03-29,42488844.0,8038462960.0,180.5,194.5,180.0,194.5,+17.50,26005.0,False,1.0,0.8967517009284485,0.8424754102655752
21.0,2022-03-30,44892286.0,8882148968.0,199.0,205.0,188.0,190.5,-4.00,31970.0,False,0.7521367521367521,0.8498530862112059,0.8516740578051222
44.0,2022-03-30,44892286.0,8882148968.0,199.0,205.0,188.0,190.5,-4.00,31970.0,False,0.7521367521367521,0.848546717997883,0.8444991795096777
22.0,2022-03-31,28497029.0,5556068998.0,195.0,198.5,191.0,191.0,+0.50,24362.0,False,0.7431192660550459,0.8142751461591525,0.8392077539231321
45.0,2022-03-31,28497029.0,5556068998.0,195.0,198.5,191.0,191.0,+0.50,24362.0,False,0.7431192660550459,0.8134042340169372,0.8341341976787641
46.0,2022-04-01,32967234.0,6041329296.0,188.5,189.0,178.5,183.0,-8.00,20635.0,False,0.5963302752293578,0.7410462477544106,0.8031048810373129
47.0,2022-04-06,24404139.0,4407022592.0,182.0,184.5,176.5,180.0,-3.00,14411.0,False,0.4117647058823529,0.631285733797058,0.7458318319572279
48.0,2022-04-07,44922954.0,7720502481.0,178.0,179.5,167.5,172.5,-7.50,26439.0,False,0.13333333333333333,0.4653016003091498,0.6523217547412019
49.0,2022-04-08,35181833.0,6059389226.0,176.0,176.0,168.5,173.0,+0.50,21589.0,False,0.14666666666666667,0.35908995576165537,0.5545778217480197
50.0,2022-04-11,30575859.0,5042905042.0,169.0,171.0,160.5,160.5,-12.50,19456.0,False,0.0,0.2393933038411036,0.4495163157790477
51.0,2022-04-12,30826199.0,4940841267.0,160.5,163.5,157.5,159.0,-1.50,17408.0,False,0.03157894736842105,0.17012185168354274,0.35638482774721264
52.0,2022-04-13,21961322.0,3593188019.0,162.5,165.5,161.5,163.5,+4.50,14013.0,False,0.1263157894736842,0.15551983094692326,0.2894298288137828
53.0,2022-04-14,21032568.0,3501838786.0,165.0,168.5,164.0,167.0,+3.50,13387.0,False,0.23170731707317074,0.1809156596556724,0.2532584390944127
54.0,2022-04-15,30949337.0,4884945654.0,165.5,165.5,153.0,156.5,-10.50,20526.0,False,0.09722222222222222,0.1530178471778557,0.2198449084555604
55.0,2022-04-18,20053793.0,3103342445.0,151.0,157.5,150.5,156.0,-0.50,11510.0,False,0.16176470588235295,0.15593346674602146,0.19854109455238075
56.0,2022-04-19,16163757.0,2572914628.0,159.0,161.5,157.5,158.0,+2.00,10965.0,False,0.25862068965517243,0.19016254104907174,0.19574824338461105
57.0,2022-04-20,13841657.0,2204395047.0,161.0,161.5,157.0,159.5,+1.50,7846.0,False,0.35294117647058826,0.24442208618957725,0.2119728576529331
58.0,2022-04-21,41497792.0,6914061524.0,161.0,171.5,161.0,166.5,+7.00,25274.0,False,0.7619047619047619,0.41691631142797214,0.2802873422446128
59.0,2022-04-22,20192670.0,3244482625.0,162.0,163.5,158.0,159.5,-7.00,13862.0,False,0.42857142857142855,0.4208013504757909,0.3271253449883388
60.0,2022-04-25,15142438.0,2297010986.0,153.0,155.0,148.5,149.0,-10.50,11184.0,False,0.021739130434782608,0.28778061046212144,0.3140104334795997
61.0,2022-04-26,16339497.0,2409635981.0,151.0,153.0,143.5,143.5,-5.50,10635.0,False,0.0,0.19185374030808086,0.2732915357557601
62.0,2022-04-27,20863651.0,2950421609.0,135.5,146.5,135.0,145.0,+1.50,12422.0,False,0.273972602739726,0.21922669445196266,0.2552699219878276
63.0,2022-04-28,21207970.0,3057548119.0,145.0,149.0,139.0,143.5,-1.50,14477.0,False,0.2328767123287671,0.22377670041089745,0.2447721814621842
64.0,2022-04-29,16451636.0,2421187206.0,148.0,151.0,145.0,146.0,+2.50,10597.0,False,0.3013698630136986,0.2496410879451645,0.2463951502898443
