0,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,filter,rsv,k,d
0.0,2022-03-01,4361672.0,971705146.0,223.5,225.0,220.0,222.5,+1.50,4045.0,False,,,
23.0,2022-03-01,4361672.0,971705146.0,223.5,225.0,220.0,222.5,+1.50,4045.0,False,0.8717948717948718,0.4288145424797192,0.3855041210429844
1.0,2022-03-02,3589690.0,787951205.0,221.0,224.0,217.0,220.0,-2.50,2952.0,False,,,
24.0,2022-03-02,3589690.0,787951205.0,221.0,224.0,217.0,220.0,-2.50,2952.0,False,0.7435897435897436,0.533739609516394,0.4349159505341209
2.0,2022-03-03,2522776.0,559799879.0,223.0,225.0,220.0,220.0, 0.00,2510.0,False,,,
25.0,2022-03-03,2522776.0,559799879.0,223.0,225.0,220.0,220.0, 0.00,2510.0,False,0.7435897435897436,0.6036896542075105,0.4911738517585841
3.0,2022-03-04,1438729.0,314249205.0,217.5,220.0,217.0,217.5,-2.50,1504.0,False,,,
26.0,2022-03-04,1438729.0,314249205.0,217.5,220.0,217.0,217.5,-2.50,1504.0,False,0.6153846153846154,0.6075879745998788,0.5299785593723491
4.0,2022-03-07,3486395.0,726210718.0,215.0,215.0,205.0,205.5,-12.00,3494.0,False,,,
27.0,2022-03-07,3486395.0,726210718.0,215.0,215.0,205.0,205.5,-12.00,3494.0,False,0.025,0.41339198306658587,0.4911163672704279
5.0,2022-03-08,3405330.0,685027393.0,200.0,207.0,198.0,198.0,-7.50,3573.0,False,,,
28.0,2022-03-08,3405330.0,685027393.0,200.0,207.0,198.0,198.0,-7.50,3573.0,False,0.0,0.2755946553777239,0.4192757966395265
6.0,2022-03-09,2151571.0,438908513.0,202.0,207.0,201.0,204.5,+6.50,2037.0,False,,,
29.0,2022-03-09,2151571.0,438908513.0,202.0,207.0,201.0,204.5,+6.50,2037.0,False,0.2407407407407408,0.26397668383206285,0.3675094257037053
30.0,2022-03-10,2245583.0,476171788.0,210.0,213.5,210.0,213.0,+8.50,2024.0,False,0.5555555555555556,0.3611696410732271,0.3653961641602125
7.0,2022-03-10,2245583.0,476171788.0,210.0,213.5,210.0,213.0,+8.50,2024.0,False,,,
8.0,2022-03-11,1650257.0,346906967.0,209.5,212.5,208.0,210.5,-2.50,1849.0,False,0.462962962962963,0.4876543209876543,0.4958847736625514
31.0,2022-03-11,1650257.0,346906967.0,209.5,212.5,208.0,210.5,-2.50,1849.0,False,0.462962962962963,0.3951007483698057,0.3752976922300769
32.0,2022-03-14,1754032.0,374067337.0,214.0,215.0,210.5,214.5,+4.00,1471.0,False,0.6111111111111112,0.4671042026169075,0.4058998623590204
9.0,2022-03-14,1754032.0,374067337.0,214.0,215.0,210.5,214.5,+4.00,1471.0,False,0.6111111111111112,0.5288065843621399,0.5068587105624143
33.0,2022-03-15,2235847.0,462935884.0,213.5,213.5,204.0,204.0,-10.50,2220.0,False,0.2222222222222222,0.3854768758186791,0.3990922001789066
10.0,2022-03-15,2235847.0,462935884.0,213.5,213.5,204.0,204.0,-10.50,2220.0,False,0.2222222222222222,0.42661179698216734,0.4801097393689986
34.0,2022-03-16,2151932.0,447498938.0,209.0,211.0,205.0,207.0,+3.00,1809.0,False,0.4090909090909091,0.3933482202427557,0.3971775402001896
11.0,2022-03-16,2151932.0,447498938.0,209.0,211.0,205.0,207.0,+3.00,1809.0,False,0.4090909090909091,0.42077150101841454,0.4603303265854705
35.0,2022-03-17,3284576.0,705391991.0,213.0,217.0,212.0,215.5,+8.50,2777.0,False,0.9210526315789472,0.5692496906881529,0.4545349236961773
12.0,2022-03-17,3284576.0,705391991.0,213.0,217.0,212.0,215.5,+8.50,2777.0,False,0.9210526315789472,0.5875318778719254,0.5027308436809554
36.0,2022-03-18,2113932.0,457556921.0,215.5,218.5,214.5,218.0,+2.50,1844.0,False,0.975609756097561,0.7047030458246222,0.5379242977389922
13.0,2022-03-18,2113932.0,457556921.0,215.5,218.5,214.5,218.0,+2.50,1844.0,False,0.975609756097561,0.7168911706138039,0.5741176193252382
37.0,2022-03-21,1897984.0,414217129.0,219.0,221.5,216.0,217.5,-0.50,1647.0,False,0.8048780487804879,0.7380947134765774,0.6046477696515206
14.0,2022-03-21,1897984.0,414217129.0,219.0,221.5,216.0,217.5,-0.50,1647.0,False,0.8048780487804879,0.7462201300026985,0.6314851228843916
38.0,2022-03-22,1661532.0,355340806.0,216.0,216.0,212.0,213.5,-4.00,1547.0,False,0.5428571428571428,0.6730155232700992,0.6274370208577134
15.0,2022-03-22,1661532.0,355340806.0,216.0,216.0,212.0,213.5,-4.00,1547.0,False,0.5428571428571428,0.6784324676208466,0.6471342377965432
16.0,2022-03-23,1897779.0,411471485.0,215.5,218.5,215.5,216.0,+2.50,1592.0,False,0.6857142857142857,0.6808597403186596,0.658376071970582
39.0,2022-03-23,1897779.0,411471485.0,215.5,218.5,215.5,216.0,+2.50,1592.0,False,0.6857142857142857,0.6772484440848281,0.6440408286000849
17.0,2022-03-24,1456668.0,311873662.0,216.0,216.0,212.0,215.5,-0.50,1419.0,False,0.6571428571428571,0.6729541125933921,0.663235418844852
