0,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,filter,rsv,k,d
0.0,2022-03-01,53218.0,4165170.0,78.0,78.9,77.8,78.9,+0.30,52.0,False,,,
23.0,2022-03-01,53218.0,4165170.0,78.0,78.9,77.8,78.9,+0.30,52.0,False,0.29729729729729937,0.6354688886930238,0.7562933128187241
1.0,2022-03-02,24231.0,1902706.0,79.8,79.8,78.2,78.6,-0.30,51.0,False,,,
24.0,2022-03-02,24231.0,1902706.0,79.8,79.8,78.2,78.6,-0.30,51.0,False,0.21621621621621528,0.4957179978674209,0.6694348745016229
2.0,2022-03-03,47684.0,3746428.0,79.0,79.5,78.1,78.6, 0.00,49.0,False,,,
25.0,2022-03-03,47684.0,3746428.0,79.0,79.5,78.1,78.6, 0.00,49.0,False,0.21621621621621528,0.40255073731701896,0.5804734954400883
3.0,2022-03-04,43058.0,3366334.0,79.2,79.2,78.0,78.0,-0.60,39.0,False,,,
26.0,2022-03-04,43058.0,3366334.0,79.2,79.2,78.0,78.0,-0.60,39.0,False,0.05405405405405478,0.2863851762293642,0.4824440557031803
4.0,2022-03-07,89615.0,6785105.0,78.0,78.0,75.2,75.6,-2.40,103.0,False,,,
27.0,2022-03-07,89615.0,6785105.0,78.0,78.0,75.2,75.6,-2.40,103.0,False,0.06349206349206217,0.21208747198359684,0.3923251944633191
5.0,2022-03-08,85417.0,6422312.0,75.6,75.9,74.6,75.3,-0.30,88.0,False,,,
28.0,2022-03-08,85417.0,6422312.0,75.6,75.9,74.6,75.3,-0.30,88.0,False,0.10144927536231917,0.1752080731098376,0.31995282067882524
6.0,2022-03-09,61000.0,4629400.0,76.0,76.9,74.8,76.9,+1.60,42.0,False,,,
29.0,2022-03-09,61000.0,4629400.0,76.0,76.9,74.8,76.9,+1.60,42.0,False,0.3333333333333347,0.22791649318433665,0.28927404484732905
30.0,2022-03-10,141549.0,11039226.0,77.8,79.2,77.1,78.3,+1.40,92.0,False,0.5522388059701494,0.3360239307796076,0.3048573401580885
7.0,2022-03-10,141549.0,11039226.0,77.8,79.2,77.1,78.3,+1.40,92.0,False,,,
8.0,2022-03-11,25126.0,1969514.0,78.3,78.6,78.2,78.2,-0.10,23.0,False,0.6923076923076936,0.5641025641025645,0.5213675213675215
31.0,2022-03-11,25126.0,1969514.0,78.3,78.6,78.2,78.2,-0.10,23.0,False,0.6923076923076936,0.4547851846223029,0.3548332883128266
32.0,2022-03-14,31526.0,2465264.0,78.4,78.5,78.0,78.0,-0.20,31.0,False,0.6538461538461546,0.5211388410302534,0.4102684725519689
9.0,2022-03-14,31526.0,2465264.0,78.4,78.5,78.0,78.0,-0.20,31.0,False,0.6538461538461546,0.5940170940170946,0.5455840455840458
33.0,2022-03-15,50026.0,3888717.0,78.0,78.0,77.5,77.6,-0.40,47.0,False,0.6122448979591829,0.5515075266732299,0.4573481572590559
