0,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,filter,rsv,k,d
0.0,2022-03-01,587284.0,1046189735.0,1730.0,1845.0,1725.0,1760.0,+60.00,856.0,False,,,
23.0,2022-03-01,587284.0,1046189735.0,1730.0,1845.0,1725.0,1760.0,+60.00,856.0,False,0.10294117647058824,0.4815533722620116,0.6407428697316576
1.0,2022-03-02,459749.0,823928425.0,1765.0,1820.0,1745.0,1820.0,+60.00,688.0,False,,,
24.0,2022-03-02,459749.0,823928425.0,1765.0,1820.0,1745.0,1820.0,+60.00,688.0,False,0.2794117647058824,0.4141728364099685,0.5652195252910945
2.0,2022-03-03,899114.0,1684060515.0,1840.0,1900.0,1840.0,1900.0,+80.00,1423.0,False,,,
25.0,2022-03-03,899114.0,1684060515.0,1840.0,1900.0,1840.0,1900.0,+80.00,1423.0,False,0.5147058823529411,0.4476838517242927,0.5260409674354939
3.0,2022-03-04,600501.0,1092162180.0,1885.0,1885.0,1780.0,1780.0,-120.00,1016.0,False,,,
26.0,2022-03-04,600501.0,1092162180.0,1885.0,1885.0,1780.0,1780.0,-120.00,1016.0,False,0.16176470588235295,0.3523774697769795,0.4681531348826557
4.0,2022-03-07,533779.0,897460530.0,1745.0,1770.0,1650.0,1655.0,-125.00,1054.0,False,,,
27.0,2022-03-07,533779.0,897460530.0,1745.0,1770.0,1650.0,1655.0,-125.00,1054.0,False,0.012048192771084338,0.2389343774416811,0.3917468824023308
5.0,2022-03-08,429188.0,706644790.0,1605.0,1690.0,1605.0,1630.0,-25.00,729.0,False,,,
28.0,2022-03-08,429188.0,706644790.0,1605.0,1690.0,1605.0,1630.0,-25.00,729.0,False,0.05434782608695652,0.17740552699010625,0.3202997639315893
6.0,2022-03-09,362770.0,613701230.0,1680.0,1715.0,1655.0,1690.0,+60.00,488.0,False,,,
29.0,2022-03-09,362770.0,613701230.0,1680.0,1715.0,1655.0,1690.0,+60.00,488.0,False,0.18478260869565216,0.1798645542252882,0.27348802736282224
30.0,2022-03-10,573891.0,1021507770.0,1800.0,1815.0,1755.0,1760.0,+70.00,782.0,False,0.3690476190476191,0.2429255758327318,0.26330054351945875
7.0,2022-03-10,573891.0,1021507770.0,1800.0,1815.0,1755.0,1760.0,+70.00,782.0,False,,,
8.0,2022-03-11,762431.0,1369551990.0,1795.0,1840.0,1775.0,1780.0,+20.00,873.0,False,0.5932203389830508,0.5310734463276836,0.5103578154425612
31.0,2022-03-11,762431.0,1369551990.0,1795.0,1840.0,1775.0,1780.0,+20.00,873.0,False,0.5932203389830508,0.35969049688283816,0.29543052797391856
32.0,2022-03-14,374071.0,665581700.0,1800.0,1810.0,1735.0,1805.0,+25.00,504.0,False,0.6779661016949152,0.4657823651535305,0.3522144737004559
9.0,2022-03-14,374071.0,665581700.0,1800.0,1810.0,1735.0,1805.0,+25.00,504.0,False,0.6779661016949152,0.5800376647834274,0.5335844318895167
33.0,2022-03-15,479238.0,829157955.0,1750.0,1790.0,1695.0,1735.0,-70.00,702.0,False,0.4406779661016949,0.4574142321362519,0.3872810598457213
10.0,2022-03-15,479238.0,829157955.0,1750.0,1790.0,1695.0,1735.0,-70.00,702.0,False,0.4406779661016949,0.5335844318895165,0.5335844318895165
34.0,2022-03-16,540925.0,967684950.0,1780.0,1810.0,1760.0,1800.0,+65.00,725.0,False,0.6964285714285714,0.5370856785670249,0.4372159327528224
11.0,2022-03-16,540925.0,967684950.0,1780.0,1810.0,1760.0,1800.0,+65.00,725.0,False,0.6964285714285714,0.5878658117358682,0.5516782251716337
35.0,2022-03-17,884664.0,1657353690.0,1855.0,1910.0,1845.0,1845.0,+45.00,1251.0,False,0.7868852459016393,0.6203522010118965,0.4982613555058471
12.0,2022-03-17,884664.0,1657353690.0,1855.0,1910.0,1845.0,1845.0,+45.00,1251.0,False,0.7868852459016393,0.6542056231244585,0.5858540244892418
36.0,2022-03-18,363179.0,670258570.0,1845.0,1875.0,1815.0,1845.0, 0.00,533.0,False,0.7868852459016393,0.6758632159751441,0.5574619756622794
13.0,2022-03-18,363179.0,670258570.0,1845.0,1875.0,1815.0,1845.0, 0.00,533.0,False,0.7868852459016393,0.6984321640501854,0.6233800710095563
37.0,2022-03-21,219134.0,402404115.0,1855.0,1870.0,1820.0,1830.0,-15.00,448.0,False,0.6862745098039216,0.6793336472514032,0.5980858661919873
14.0,2022-03-21,219134.0,402404115.0,1855.0,1870.0,1820.0,1830.0,-15.00,448.0,False,0.6862745098039216,0.6943796126347641,0.6470465848846255
38.0,2022-03-22,239271.0,438105080.0,1830.0,1850.0,1805.0,1850.0,+20.00,385.0,False,0.7209302325581395,0.6931991756869821,0.6297903026903189
15.0,2022-03-22,239271.0,438105080.0,1830.0,1850.0,1805.0,1850.0,+20.00,385.0,False,0.7209302325581395,0.7032298192758892,0.6657743296817134
16.0,2022-03-23,484735.0,911236055.0,1855.0,1905.0,1850.0,1905.0,+55.00,861.0,False,0.9767441860465116,0.7944012748660967,0.7086499780765078
39.0,2022-03-23,484735.0,911236055.0,1855.0,1905.0,1850.0,1905.0,+55.00,861.0,False,0.9767441860465116,0.7877141791401585,0.6824315948402654
17.0,2022-03-24,227931.0,426434435.0,1895.0,1895.0,1850.0,1880.0,-25.00,317.0,False,0.8604651162790697,0.8164225553370876,0.744574170496701
40.0,2022-03-24,227931.0,426434435.0,1895.0,1895.0,1850.0,1880.0,-25.00,317.0,False,0.8604651162790697,0.8119644915197956,0.7256092270667753
18.0,2022-03-25,908239.0,1774155270.0,1930.0,1980.0,1915.0,1945.0,+65.00,1475.0,False,0.8771929824561403,0.8366793643767718,0.7752759017900579
41.0,2022-03-25,908239.0,1774155270.0,1930.0,1980.0,1915.0,1945.0,+65.00,1475.0,False,0.8771929824561403,0.8337073218319104,0.7616419253218203
19.0,2022-03-28,419668.0,787308010.0,1915.0,1920.0,1860.0,1870.0,-75.00,632.0,False,0.5,0.7244529095845145,0.75833490438821
42.0,2022-03-28,419668.0,787308010.0,1915.0,1920.0,1860.0,1870.0,-75.00,632.0,False,0.5,0.7224715478879402,0.7485851328438602
20.0,2022-03-29,561824.0,1071574515.0,1885.0,1940.0,1870.0,1935.0,+65.00,759.0,False,0.7428571428571429,0.7305876540087239,0.7490858209283813
43.0,2022-03-29,561824.0,1071574515.0,1885.0,1940.0,1870.0,1935.0,+65.00,759.0,False,0.7428571428571429,0.7292667462110077,0.7421456706329093
21.0,2022-03-30,997551.0,2009473370.0,1960.0,2065.0,1960.0,2000.0,+65.00,1644.0,False,0.75,0.7370584360058159,0.7450766926208594
44.0,2022-03-30,997551.0,2009473370.0,1960.0,2065.0,1960.0,2000.0,+65.00,1644.0,False,0.75,0.7361778308073385,0.7401563906910522
22.0,2022-03-31,198117.0,392406635.0,2025.0,2025.0,1945.0,1945.0,-55.00,396.0,False,0.5384615384615384,0.6708594701577233,0.7203376184664807
45.0,2022-03-31,198117.0,392406635.0,2025.0,2025.0,1945.0,1945.0,-55.00,396.0,False,0.5384615384615384,0.6702724000254051,0.7168617271358364
46.0,2022-04-01,572674.0,1073196010.0,1915.0,1915.0,1855.0,1900.0,-45.00,740.0,False,0.36538461538461536,0.5686431384784751,0.6674555309167159
47.0,2022-04-06,283007.0,530450810.0,1845.0,1915.0,1840.0,1870.0,-30.00,433.0,False,0.13333333333333333,0.4235398700967612,0.5861503106433976
48.0,2022-04-07,264466.0,483163185.0,1865.0,1890.0,1795.0,1800.0,-70.00,443.0,False,0.018518518518518517,0.2885327529040136,0.4869444580636029
49.0,2022-04-08,320571.0,566303575.0,1820.0,1835.0,1735.0,1745.0,-55.00,663.0,False,0.030303030303030307,0.20245617870368585,0.3921150316102972
50.0,2022-04-11,539259.0,922891850.0,1750.0,1770.0,1680.0,1685.0,-60.00,751.0,False,0.012987012987012988,0.13929979013146152,0.3078432844506852
51.0,2022-04-12,441516.0,751493630.0,1665.0,1740.0,1645.0,1710.0,+25.00,537.0,False,0.15476190476190474,0.14445382834160925,0.2533801324143265
52.0,2022-04-13,1263704.0,2070280795.0,1705.0,1710.0,1565.0,1685.0,-25.00,1840.0,False,0.24,0.1763025522277395,0.2276876056854641
53.0,2022-04-14,868634.0,1406638135.0,1680.0,1680.0,1590.0,1605.0,-80.00,1315.0,False,0.08695652173913042,0.1465205420648698,0.2006319178119327
54.0,2022-04-15,927113.0,1409723225.0,1590.0,1590.0,1480.0,1480.0,-125.00,2118.0,False,0.0,0.09768036137657987,0.16631473233348176
55.0,2022-04-18,503614.0,761759840.0,1485.0,1535.0,1485.0,1520.0,+40.00,771.0,False,0.09195402298850576,0.09577158191388847,0.14280034886028398
56.0,2022-04-19,360431.0,560617375.0,1550.0,1570.0,1530.0,1565.0,+45.00,497.0,False,0.2073170731707317,0.1329534123328362,0.13951803668446805
57.0,2022-04-20,478965.0,760690420.0,1590.0,1610.0,1570.0,1580.0,+15.00,630.0,False,0.28169014084507044,0.18253232183691426,0.15385613173528345
58.0,2022-04-21,450750.0,719012110.0,1590.0,1620.0,1565.0,1620.0,+40.00,570.0,False,0.4827586206896552,0.2826077547878279,0.19677333941946493
59.0,2022-04-22,528653.0,820005460.0,1590.0,1590.0,1530.0,1550.0,-70.00,827.0,False,0.2692307692307692,0.2781487596021417,0.22389847948035715
60.0,2022-04-25,1006107.0,1465234960.0,1495.0,1510.0,1425.0,1450.0,-100.00,1828.0,False,0.08771929824561403,0.21467227248329912,0.22082307714800445
61.0,2022-04-26,955623.0,1358399540.0,1480.0,1500.0,1390.0,1400.0,-50.00,1411.0,False,0.03448275862068965,0.1546091011957626,0.1987517518305905
62.0,2022-04-27,1151447.0,1524113795.0,1285.0,1365.0,1285.0,1350.0,-50.00,1519.0,False,0.19402985074626866,0.16774935104593128,0.18841761823570408
63.0,2022-04-28,1062540.0,1466924660.0,1355.0,1440.0,1305.0,1400.0,+50.00,1304.0,False,0.34328358208955223,0.2262607613938049,0.20103199928840434
64.0,2022-04-29,773772.0,1108740975.0,1435.0,1470.0,1400.0,1425.0,+25.00,901.0,False,0.41791044776119396,0.2901439901829346,0.2307359962532477
65.0,2022-05-03,302132.0,433087435.0,1425.0,1455.0,1405.0,1440.0,+15.00,390.0,False,0.4626865671641791,0.3476581825100161,0.2697100583388372
66.0,2022-05-04,1087673.0,1576411265.0,1500.0,1530.0,1400.0,1420.0,-20.00,1340.0,False,0.4029850746268657,0.3661004798822993,0.3018401988533245
67.0,2022-05-05,1437796.0,2071795115.0,1495.0,1515.0,1380.0,1395.0,-25.00,2081.0,False,0.3606557377049181,0.3642855658231722,0.32265532117660706
68.0,2022-05-06,1024977.0,1365340240.0,1310.0,1365.0,1295.0,1360.0,-35.00,1450.0,False,0.30612244897959184,0.3448978602086454,0.33006950085395315
69.0,2022-05-09,1011407.0,1304508705.0,1325.0,1330.0,1265.0,1300.0,-60.00,1350.0,False,0.1320754716981132,0.273957064038468,0.3113653552487914
70.0,2022-05-10,973847.0,1279949920.0,1255.0,1370.0,1235.0,1360.0,+60.00,1170.0,False,0.42372881355932196,0.3238809805454193,0.3155372303476673
71.0,2022-05-11,643635.0,881161415.0,1355.0,1385.0,1345.0,1375.0,+15.00,737.0,False,0.4745762711864407,0.3741127440924264,0.3350624015959204
72.0,2022-05-12,1245742.0,1660565520.0,1345.0,1365.0,1295.0,1355.0,-20.00,1219.0,False,0.4067796610169492,0.3850017164006007,0.35170883986414714
73.0,2022-05-13,1697405.0,2184070935.0,1350.0,1370.0,1240.0,1245.0,-110.00,2644.0,False,0.03389830508474576,0.26796724596198235,0.3237949752300922
74.0,2022-05-16,993125.0,1288401485.0,1280.0,1315.0,1275.0,1300.0,+55.00,1184.0,False,0.22033898305084745,0.2520911583249373,0.2998937029283739
75.0,2022-05-17,804478.0,1080553040.0,1315.0,1365.0,1295.0,1350.0,+50.00,990.0,False,0.4107142857142857,0.3049655341213868,0.30158431332604485
76.0,2022-05-18,1119523.0,1544424465.0,1380.0,1410.0,1330.0,1405.0,+55.00,1358.0,False,0.9714285714285714,0.5271198798904483,0.3767628355141793
77.0,2022-05-19,709314.0,982339650.0,1335.0,1415.0,1335.0,1405.0, 0.00,853.0,False,0.9444444444444444,0.6662280680751136,0.4732512463678241
78.0,2022-05-20,678605.0,960960365.0,1435.0,1450.0,1400.0,1405.0, 0.00,766.0,False,0.7906976744186046,0.7077179368562772,0.5514068098639751
79.0,2022-05-23,929928.0,1256542380.0,1410.0,1425.0,1315.0,1320.0,-85.00,1500.0,False,0.3809523809523809,0.5987960848883117,0.5672032348720872
80.0,2022-05-24,713978.0,925887005.0,1335.0,1350.0,1265.0,1280.0,-40.00,1051.0,False,0.19047619047619047,0.4626894534176046,0.532365307720593
81.0,2022-05-25,498092.0,647702930.0,1300.0,1325.0,1270.0,1285.0,+5.00,680.0,False,0.21428571428571427,0.3798882070403078,0.4815396074938312
82.0,2022-05-26,632120.0,812236905.0,1305.0,1310.0,1260.0,1280.0,-5.00,846.0,False,0.10526315789473684,0.2883465239917841,0.4171419129931488
83.0,2022-05-27,528996.0,693835195.0,1310.0,1330.0,1295.0,1300.0,+20.00,655.0,False,0.21052631578947367,0.262406454591014,0.3655634268591038
84.0,2022-05-30,812670.0,1078533000.0,1335.0,1360.0,1300.0,1310.0,+10.00,1038.0,False,0.2631578947368421,0.26265693463962336,0.33126126278594364
85.0,2022-05-31,878315.0,1179583655.0,1320.0,1375.0,1300.0,1370.0,+60.00,982.0,False,0.5789473684210527,0.3680870792334331,0.3435365349351068
86.0,2022-06-01,881535.0,1210939140.0,1365.0,1410.0,1355.0,1365.0,-5.00,1025.0,False,0.5526315789473685,0.4296019124714116,0.3722249941138751
87.0,2022-06-02,606125.0,839179880.0,1365.0,1405.0,1355.0,1385.0,+20.00,742.0,False,0.7575757575757576,0.5389265275061935,0.4277921719113145
88.0,2022-06-06,678651.0,931546695.0,1385.0,1395.0,1335.0,1380.0,-5.00,805.0,False,0.8,0.6259510183374624,0.4938451207200304
89.0,2022-06-07,497365.0,699687085.0,1380.0,1425.0,1380.0,1405.0,+25.00,718.0,False,0.8787878787878788,0.7102299718209345,0.5659734044203317
90.0,2022-06-08,867741.0,1248212490.0,1440.0,1455.0,1415.0,1435.0,+30.00,1106.0,False,0.8974358974358975,0.7726319470259222,0.6348595852888619
91.0,2022-06-09,575858.0,830297755.0,1440.0,1460.0,1415.0,1435.0, 0.00,696.0,False,0.8484848484848485,0.797916247512231,0.6892118060299849
