0,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,filter,rsv,k,d
0.0,2022-03-01,10928637.0,176286616.0,16.05,16.25,15.95,16.2,+0.35,3666.0,False,,,
23.0,2022-03-01,10928637.0,176286616.0,16.05,16.25,15.95,16.2,+0.35,3666.0,False,0.80952380952381,0.3604109309390969,0.2643064941150812
1.0,2022-03-02,7093662.0,114452790.0,16.2,16.25,16.0,16.2, 0.00,2469.0,False,,,
24.0,2022-03-02,7093662.0,114452790.0,16.2,16.25,16.0,16.2, 0.00,2469.0,False,0.80952380952381,0.5101152238006679,0.3462427373436101
2.0,2022-03-03,8281639.0,134848027.0,16.35,16.5,16.2,16.2, 0.00,2992.0,False,,,
25.0,2022-03-03,8281639.0,134848027.0,16.35,16.5,16.2,16.2, 0.00,2992.0,False,0.7391304347826082,0.5864536274613146,0.4263130340495116
3.0,2022-03-04,12858723.0,207631415.0,16.0,16.4,15.95,16.05,-0.15,3752.0,False,,,
26.0,2022-03-04,12858723.0,207631415.0,16.0,16.4,15.95,16.05,-0.15,3752.0,False,0.6086956521739137,0.5938676356988476,0.4821645679326235
4.0,2022-03-07,14451770.0,227077571.0,16.0,16.05,15.6,15.75,-0.30,5132.0,False,,,
27.0,2022-03-07,14451770.0,227077571.0,16.0,16.05,15.6,15.75,-0.30,5132.0,False,0.34782608695652195,0.5118537861180723,0.4920609739944398
5.0,2022-03-08,17139202.0,269785421.0,15.65,16.0,15.5,15.6,-0.15,5641.0,False,,,
28.0,2022-03-08,17139202.0,269785421.0,15.65,16.0,15.5,15.6,-0.15,5641.0,False,0.21739130434782605,0.4136996255279902,0.4659405245056232
6.0,2022-03-09,8337040.0,130842371.0,15.85,15.9,15.6,15.7,+0.10,3193.0,False,,,
29.0,2022-03-09,8337040.0,130842371.0,15.85,15.9,15.6,15.7,+0.10,3193.0,False,0.3043478260869561,0.3772490257143121,0.43637669157518616
30.0,2022-03-10,9713736.0,154967023.0,15.85,16.1,15.85,15.95,+0.25,3324.0,False,0.5217391304347822,0.4254123939544688,0.4327219257016137
7.0,2022-03-10,9713736.0,154967023.0,15.85,16.1,15.85,15.95,+0.25,3324.0,False,,,
8.0,2022-03-11,7254599.0,115336023.0,16.0,16.05,15.8,15.85,-0.10,2924.0,False,0.34999999999999964,0.44999999999999984,0.4833333333333333
31.0,2022-03-11,7254599.0,115336023.0,16.0,16.05,15.8,15.85,-0.10,2924.0,False,0.34999999999999964,0.40027492930297903,0.4219062602354021
32.0,2022-03-14,21738817.0,352614385.0,16.0,16.4,16.0,16.3,+0.45,5985.0,False,0.8000000000000007,0.5335166195353196,0.4591097133353746
9.0,2022-03-14,21738817.0,352614385.0,16.0,16.4,16.0,16.3,+0.45,5985.0,False,0.8000000000000007,0.5666666666666668,0.5111111111111111
33.0,2022-03-15,24559211.0,400761899.0,16.3,16.5,16.05,16.4,+0.10,7258.0,False,0.8999999999999986,0.6556777463568793,0.5246323910092094
10.0,2022-03-15,24559211.0,400761899.0,16.3,16.5,16.05,16.4,+0.10,7258.0,False,0.8999999999999986,0.6777777777777774,0.5666666666666664
34.0,2022-03-16,28453210.0,465423609.0,16.65,16.7,16.05,16.15,-0.25,12045.0,False,0.5416666666666659,0.6176740531268081,0.5556462783817423
