0,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,filter,rsv,k,d
0.0,2022-03-01,85012.0,819827.0,9.8,9.8,9.55,9.64,0.13,72.0,False,,,
23.0,2022-03-01,85012.0,819827.0,9.8,9.8,9.55,9.64,0.13,72.0,False,0.6078431372549032,0.7450392669618513,0.8027071424193182
1.0,2022-03-02,53021.0,508469.0,9.63,9.64,9.52,9.6,-0.04,55.0,False,,,
24.0,2022-03-02,53021.0,508469.0,9.63,9.64,9.52,9.6,-0.04,55.0,False,0.5102040816326529,0.6667608718521185,0.7573917188969183
2.0,2022-03-03,109004.0,1046859.0,9.7,9.7,9.5,9.6,0.0,56.0,False,,,
25.0,2022-03-03,109004.0,1046859.0,9.7,9.7,9.5,9.6,0.0,56.0,False,0.2941176470588226,0.5425464635876865,0.685776633793841
3.0,2022-03-04,46018.0,437933.0,9.51,9.55,9.5,9.55,-0.05,45.0,False,,,
26.0,2022-03-04,46018.0,437933.0,9.51,9.55,9.5,9.55,-0.05,45.0,False,0.1470588235294139,0.41071725023492894,0.5940901726075369
4.0,2022-03-07,479077.0,4409560.0,9.55,9.55,9.15,9.21,-0.34,92.0,False,,,
27.0,2022-03-07,479077.0,4409560.0,9.55,9.55,9.15,9.21,-0.34,92.0,False,0.08695652173913122,0.3027970074029964,0.4969924508726901
5.0,2022-03-08,208099.0,1896830.0,9.21,9.21,9.02,9.13,-0.08,75.0,False,,,
28.0,2022-03-08,208099.0,1896830.0,9.21,9.21,9.02,9.13,-0.08,75.0,False,0.13414634146341606,0.2465801187564696,0.4135216735006165
6.0,2022-03-09,98013.0,899138.0,9.29,9.29,9.06,9.17,0.04,74.0,False,,,
29.0,2022-03-09,98013.0,899138.0,9.29,9.29,9.06,9.17,0.04,74.0,False,0.18292682926829304,0.22536235559374404,0.3508019008649923
30.0,2022-03-10,130005.0,1207239.0,9.28,9.31,9.27,9.28,0.11,51.0,False,0.3291139240506323,0.2599462117460401,0.3205166711586749
7.0,2022-03-10,130005.0,1207239.0,9.28,9.31,9.27,9.28,0.11,51.0,False,,,
