0,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,filter,rsv,k,d
0.0,2022-03-01,1402472.0,182016458.0,129.5,131.5,129.0,129.0, 0.00,1068.0,False,,,
23.0,2022-03-01,1402472.0,182016458.0,129.5,131.5,129.0,129.0, 0.00,1068.0,False,0.8076923076923077,0.7151649922781174,0.7205277694612808
1.0,2022-03-02,786892.0,101558937.0,129.0,130.0,128.0,130.0,+1.00,601.0,False,,,
24.0,2022-03-02,786892.0,101558937.0,129.0,130.0,128.0,130.0,+1.00,601.0,False,0.875,0.7684433281854115,0.7364996223693243
2.0,2022-03-03,923550.0,119568806.0,130.5,131.0,128.5,129.0,-1.00,663.0,False,,,
25.0,2022-03-03,923550.0,119568806.0,130.5,131.0,128.5,129.0,-1.00,663.0,False,0.7916666666666666,0.7761844410124965,0.7497278952503816
3.0,2022-03-04,962558.0,123782304.0,129.0,129.5,128.0,129.0, 0.00,755.0,False,,,
26.0,2022-03-04,962558.0,123782304.0,129.0,129.5,128.0,129.0, 0.00,755.0,False,0.7916666666666666,0.7813451828972198,0.7602669911326609
4.0,2022-03-07,4125105.0,508200764.0,128.0,128.0,121.0,121.5,-7.50,4029.0,False,,,
27.0,2022-03-07,4125105.0,508200764.0,128.0,128.0,121.0,121.5,-7.50,4029.0,False,0.16666666666666666,0.5764523441537021,0.6989954421396746
5.0,2022-03-08,3377439.0,407549670.0,118.0,124.0,117.0,120.5,-1.00,3045.0,False,,,
28.0,2022-03-08,3377439.0,407549670.0,118.0,124.0,117.0,120.5,-1.00,3045.0,False,0.2413793103448276,0.4647613328840772,0.6209174057211421
6.0,2022-03-09,1316636.0,158810489.0,120.5,122.0,119.5,120.5, 0.00,2123.0,False,,,
29.0,2022-03-09,1316636.0,158810489.0,120.5,122.0,119.5,120.5, 0.00,2123.0,False,0.2413793103448276,0.39030065870432734,0.5440451567155371
30.0,2022-03-10,1229971.0,151540939.0,122.0,124.0,122.0,123.0,+2.50,2551.0,False,0.4137931034482759,0.3981314736189768,0.49540726235001703
7.0,2022-03-10,1229971.0,151540939.0,122.0,124.0,122.0,123.0,+2.50,2551.0,False,,,
8.0,2022-03-11,1804805.0,216972651.0,122.5,122.5,119.5,120.0,-3.00,2915.0,False,0.206896551724138,0.4022988505747126,0.4674329501915708
31.0,2022-03-11,1804805.0,216972651.0,122.5,122.5,119.5,120.0,-3.00,2915.0,False,0.206896551724138,0.33438649965403056,0.4417336747846881
32.0,2022-03-14,1231529.0,146323225.0,120.0,121.0,118.0,119.5,-0.50,1162.0,False,0.17857142857142858,0.2824481426264965,0.3886384973986242
9.0,2022-03-14,1231529.0,146323225.0,120.0,121.0,118.0,119.5,-0.50,1162.0,False,0.17857142857142858,0.32772304324028456,0.4208629812078088
33.0,2022-03-15,2344542.0,272680933.0,118.5,119.0,114.5,115.0,-4.50,2386.0,False,0.030303030303030307,0.1983997718520078,0.3252255888830854
10.0,2022-03-15,2344542.0,272680933.0,118.5,119.0,114.5,115.0,-4.50,2386.0,False,0.030303030303030307,0.2285830389278665,0.35676966711449465
34.0,2022-03-16,2586996.0,293366818.0,116.5,117.0,111.5,113.5,-1.50,3013.0,False,0.1111111111111111,0.16930355160504226,0.273251576457071
11.0,2022-03-16,2586996.0,293366818.0,116.5,117.0,111.5,113.5,-1.50,3013.0,False,0.1111111111111111,0.18942572965561466,0.3009883546282013
35.0,2022-03-17,3590856.0,415471150.0,117.5,119.0,114.0,116.0,+2.50,2529.0,False,0.2727272727272727,0.2037781253124524,0.2500937594088648
12.0,2022-03-17,3590856.0,415471150.0,117.5,119.0,114.0,116.0,+2.50,2529.0,False,0.2727272727272727,0.21719291067950064,0.2730565399786344
36.0,2022-03-18,2292997.0,265409883.0,115.0,118.0,113.5,117.0,+1.00,1631.0,False,0.44,0.2825187502083016,0.2609020896753437
13.0,2022-03-18,2292997.0,265409883.0,115.0,118.0,113.5,117.0,+1.00,1631.0,False,0.44,0.29146194045300045,0.2791916734700897
37.0,2022-03-21,2378815.0,285026997.0,117.5,121.5,117.0,121.0,+4.00,1797.0,False,0.76,0.4416791668055343,0.3211611153854073
14.0,2022-03-21,2378815.0,285026997.0,117.5,121.5,117.0,121.0,+4.00,1797.0,False,0.76,0.4476412936353336,0.3353415468585043
38.0,2022-03-22,2120381.0,254225242.0,119.5,122.0,118.5,122.0,+1.00,2707.0,False,0.84,0.5744527778703561,0.4055916695470568
15.0,2022-03-22,2120381.0,254225242.0,119.5,122.0,118.5,122.0,+1.00,2707.0,False,0.84,0.5784275290902223,0.4163702076024103
16.0,2022-03-23,1527488.0,185994264.0,123.0,123.0,121.0,122.0, 0.00,1732.0,False,0.9130434782608696,0.6899661788137714,0.507568864672864
39.0,2022-03-23,1527488.0,185994264.0,123.0,123.0,121.0,122.0, 0.00,1732.0,False,0.9130434782608696,0.6873163446671939,0.4994998945871025
17.0,2022-03-24,1307577.0,159406234.0,121.0,123.0,120.5,122.0, 0.00,1042.0,False,0.9130434782608696,0.7643252786294708,0.5931543359917328
40.0,2022-03-24,1307577.0,159406234.0,121.0,123.0,120.5,122.0, 0.00,1042.0,False,0.9130434782608696,0.7625587225317525,0.5871861705686525
18.0,2022-03-25,1175864.0,143622501.0,121.5,123.5,121.0,122.0, 0.00,1637.0,False,0.875,0.8012168524196471,0.6625085081343709
41.0,2022-03-25,1175864.0,143622501.0,121.5,123.5,121.0,122.0, 0.00,1637.0,False,0.875,0.8000391483545016,0.6581371631639356
19.0,2022-03-28,1535935.0,185565355.0,120.5,122.5,120.0,122.0, 0.00,1559.0,False,0.875,0.8258112349464314,0.7169427504050576
42.0,2022-03-28,1535935.0,185565355.0,120.5,122.5,120.0,122.0, 0.00,1559.0,False,0.875,0.8250260989030009,0.7137668084102906
20.0,2022-03-29,1632323.0,196707422.0,122.0,122.0,119.5,120.5,-1.50,2337.0,False,0.7,0.7838741566309542,0.7392532191470231
43.0,2022-03-29,1632323.0,196707422.0,122.0,122.0,119.5,120.5,-1.50,2337.0,False,0.7,0.7833507326020006,0.7369614498075272
21.0,2022-03-30,976066.0,117752928.0,121.0,121.5,120.0,121.0,+0.50,1266.0,False,0.75,0.7725827710873028,0.750363069793783
44.0,2022-03-30,976066.0,117752928.0,121.0,121.5,120.0,121.0,+0.50,1266.0,False,0.75,0.7722338217346669,0.7487189071165739
22.0,2022-03-31,598691.0,72140841.0,121.0,121.5,120.0,120.0,-1.00,506.0,False,0.4615384615384616,0.6689013345710223,0.7232091580528627
45.0,2022-03-31,598691.0,72140841.0,121.0,121.5,120.0,120.0,-1.00,506.0,False,0.4615384615384616,0.6686687016692652,0.7220355053008043
46.0,2022-04-01,402804.0,48112754.0,119.0,120.0,118.0,120.0, 0.00,1641.0,False,0.3636363636363637,0.566991255658298,0.6703540887533022
47.0,2022-04-06,1128343.0,137548303.0,120.5,123.0,120.5,122.0,+2.00,1438.0,False,0.7272727272727273,0.6204184128631077,0.6537088634565706
48.0,2022-04-07,2655123.0,313285865.0,121.0,121.0,116.5,116.5,-5.50,3194.0,False,0.0,0.4136122752420718,0.5736766673850711
49.0,2022-04-08,1519466.0,176157209.0,118.0,118.5,114.5,115.5,-1.00,2626.0,False,0.1111111111111111,0.31277855386508485,0.4867106295450756
50.0,2022-04-11,977428.0,111100197.0,116.5,116.5,112.5,112.5,-3.00,874.0,False,0.0,0.20851903591005647,0.3939800983334025
51.0,2022-04-12,1749225.0,192445213.0,111.5,113.5,108.0,109.0,-3.50,1487.0,False,0.06666666666666668,0.16123491282892655,0.3163983698319105
52.0,2022-04-13,2393933.0,257908668.0,109.5,110.0,106.5,107.5,-1.50,1633.0,False,0.060606060606060615,0.12769196208797126,0.2534962339172641
53.0,2022-04-14,1244817.0,136352048.0,109.0,111.0,108.0,109.0,+1.50,947.0,False,0.15151515151515152,0.13563302523036466,0.2142084976882976
54.0,2022-04-15,2000038.0,211045328.0,107.5,108.0,104.5,104.5,-4.50,1648.0,False,0.0,0.0904220168202431,0.1729463373989461
55.0,2022-04-18,2222014.0,230749283.0,104.5,106.5,102.0,106.0,+1.50,1461.0,False,0.19047619047619047,0.12377340803889222,0.1565553609455948
56.0,2022-04-19,1234932.0,130972144.0,107.0,107.5,105.0,106.0, 0.00,1125.0,False,0.21052631578947367,0.1526910439557527,0.1552672552823141
57.0,2022-04-20,1209242.0,131325861.0,106.5,109.5,106.5,109.0,+3.00,956.0,False,0.42424242424242425,0.2432081707179765,0.18458089376086825
58.0,2022-04-21,809195.0,88224070.0,109.5,109.5,108.0,109.0, 0.00,568.0,False,0.4827586206896552,0.3230583207085361,0.2307400360767575
59.0,2022-04-22,713326.0,76313889.0,107.5,108.0,106.0,107.0,-2.00,594.0,False,0.43478260869565216,0.3602997500375748,0.2739266073970299
60.0,2022-04-25,1276515.0,130827861.0,104.5,105.0,101.5,101.5,-5.50,1008.0,False,0.0,0.2401998333583832,0.26268434938414764
61.0,2022-04-26,723658.0,73889104.0,103.0,103.0,101.0,102.0,+0.50,593.0,False,0.1,0.19346655557225545,0.2396117514468502
62.0,2022-04-27,1338697.0,135371518.0,99.9,104.0,98.6,104.0,+2.00,1043.0,False,0.4954128440366975,0.2941153183937361,0.25777960709581216
63.0,2022-04-28,448696.0,46384402.0,103.0,104.5,102.5,103.0,-1.00,445.0,False,0.4036697247706425,0.3306334538527049,0.28206422268144304
64.0,2022-04-29,529864.0,55225307.0,104.5,105.0,103.0,105.0,+2.00,423.0,False,0.5871559633027525,0.4161409570027208,0.32675646745520226
65.0,2022-05-03,415930.0,43192564.0,104.5,105.0,102.5,104.5,-0.50,377.0,False,0.541284403669725,0.4578554392250554,0.3704561247118201
66.0,2022-05-04,529277.0,55945422.0,105.0,107.5,105.0,105.0,+0.50,485.0,False,0.5871559633027525,0.5009556139176211,0.4139559544470871
67.0,2022-05-05,1134827.0,119638030.0,106.5,106.5,105.0,105.0, 0.00,742.0,False,0.6808510638297874,0.5609207638883431,0.462944224260839
68.0,2022-05-06,1216686.0,123370201.0,102.0,102.5,101.0,101.5,-3.50,913.0,False,0.3258426966292139,0.48256140813529996,0.469483285552326
69.0,2022-05-09,638741.0,63817527.0,101.5,101.5,99.5,99.6,-1.90,678.0,False,0.11235955056179768,0.35916078894413256,0.4327091200162615
70.0,2022-05-10,747100.0,74045275.0,98.1,101.0,96.6,101.0,+1.40,706.0,False,0.4036697247706425,0.37399710088630256,0.4131384469729418
71.0,2022-05-11,288816.0,28981152.0,101.0,101.0,99.6,100.0,-1.00,371.0,False,0.3119266055045875,0.3533069357590642,0.3931946099016492
72.0,2022-05-12,452236.0,45018518.0,99.9,101.0,98.4,98.8,-1.20,414.0,False,0.20183486238532125,0.3028162446344832,0.3630684881459272
73.0,2022-05-13,601997.0,60180753.0,99.2,101.0,99.2,99.9,+1.10,596.0,False,0.30275229357798256,0.30279492761564963,0.3429773013025013
74.0,2022-05-16,702927.0,69879488.0,101.5,101.5,98.5,98.5,-1.40,1013.0,False,0.174311926605505,0.2599672606122681,0.3153072877390902
75.0,2022-05-17,508537.0,50991880.0,99.6,101.0,98.8,101.0,+2.50,456.0,False,0.4444444444444448,0.32145965522299363,0.3173580769003913
76.0,2022-05-18,733952.0,74452409.0,101.0,102.5,100.5,102.0,+1.00,1092.0,False,0.9152542372881356,0.5193911825780411,0.3847024454596079
77.0,2022-05-19,458737.0,45896264.0,99.9,100.5,99.2,100.5,-1.50,443.0,False,0.6610169491525427,0.5665997714362082,0.445334887451808
78.0,2022-05-20,522849.0,52402307.0,101.5,101.5,99.9,100.5, 0.00,482.0,False,0.6610169491525427,0.5980721640083196,0.4962473129706451
79.0,2022-05-23,429698.0,43608703.0,101.5,102.0,100.5,102.0,+1.50,354.0,False,0.8780487804878047,0.6913977028348146,0.5612974429253683
80.0,2022-05-24,548079.0,55355878.0,102.0,102.5,100.0,100.0,-2.00,481.0,False,0.3902439024390236,0.5910131027028842,0.5712026628512069
81.0,2022-05-25,249595.0,25173319.0,101.0,101.5,99.9,101.0,+1.00,249.0,False,0.625,0.6023420684685894,0.5815824647236677
82.0,2022-05-26,335282.0,33941632.0,102.0,102.0,100.5,100.5,-0.50,274.0,False,0.5,0.5682280456457263,0.5771309916976872
83.0,2022-05-27,476881.0,48366033.0,101.5,102.0,100.5,101.5,+1.00,416.0,False,0.7297297297297299,0.6220619403403942,0.5921079745785895
84.0,2022-05-30,938110.0,97624482.0,102.5,105.0,102.5,105.0,+3.50,849.0,False,1.0,0.7480412935602627,0.6440857475724806
85.0,2022-05-31,1126905.0,119913780.0,105.0,107.5,104.0,107.5,+2.50,624.0,False,1.0,0.8320275290401751,0.7067330080617121
86.0,2022-06-01,1805560.0,189666599.0,106.0,106.5,103.5,103.5,-4.00,1721.0,False,0.4736842105263154,0.7125797562022218,0.7086819241085486
87.0,2022-06-02,813128.0,83951161.0,103.0,104.0,102.0,103.5, 0.00,764.0,False,0.4736842105263154,0.6329479076435863,0.6834372519535612
88.0,2022-06-06,2085333.0,218527257.0,103.0,107.0,102.5,104.0,+0.50,1501.0,False,0.539473684210526,0.6017898331658995,0.6562214456910073
89.0,2022-06-07,1164297.0,119762153.0,103.5,104.5,101.5,103.0,-1.00,882.0,False,0.4078947368421048,0.5371581343913012,0.6165336752577719
90.0,2022-06-08,572259.0,59254274.0,103.0,104.0,103.0,104.0,+1.00,523.0,False,0.5,0.5247720895942007,0.5859464800365815
91.0,2022-06-09,502289.0,52082646.0,104.0,104.0,103.0,103.5,-0.50,391.0,False,0.42857142857142855,0.49270520258661,0.5548660542199243
92.0,2022-06-10,279778.0,28861523.0,103.0,104.0,102.5,104.0,+0.50,242.0,False,0.4166666666666667,0.4673590239466289,0.5256970441288258
93.0,2022-06-13,1018534.0,102220056.0,102.0,102.0,99.8,100.0,-4.00,857.0,False,0.02597402597402633,0.32023069128909465,0.4572082598489153
94.0,2022-06-14,1358653.0,132961221.0,100.0,100.0,96.8,98.4,-1.60,1201.0,False,0.15686274509804002,0.2657747092254097,0.3933970763077468
95.0,2022-06-15,1891075.0,182422608.0,98.9,99.0,95.2,95.5,-2.90,1899.0,False,0.025423728813559088,0.18565771575479284,0.32415062279009543
96.0,2022-06-16,2346517.0,219117636.0,96.5,97.2,90.5,90.5,-5.00,2243.0,False,0.0,0.12377181050319525,0.2573576853611287
97.0,2022-06-17,2047866.0,180848770.0,89.0,89.8,86.7,88.8,-1.70,1746.0,False,0.11797752808988735,0.1218403830320926,0.21218525125145
98.0,2022-06-20,2040960.0,177302399.0,89.0,89.9,84.6,84.7,-4.10,2509.0,False,0.005154639175258171,0.08294513507981445,0.1691052125275715
99.0,2022-06-21,1076546.0,93424488.0,85.3,87.7,85.3,87.4,+2.70,1282.0,False,0.14432989690721704,0.10340672235561532,0.1472057158035861
