0,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,filter,rsv,k,d
0.0,2022-03-01,5068749.0,153561658.0,29.8,30.85,29.6,30.15,+0.80,2755.0,False,,,
23.0,2022-03-01,5068749.0,153561658.0,29.8,30.85,29.6,30.15,+0.80,2755.0,False,0.043999999999999775,0.4781802222656578,0.6624343832588167
1.0,2022-03-02,2317275.0,68546683.0,29.65,30.1,29.15,29.7,-0.45,1399.0,False,,,
24.0,2022-03-02,2317275.0,68546683.0,29.65,30.1,29.15,29.7,-0.45,1399.0,False,0.04247104247104252,0.332943829000786,0.5526041985061397
2.0,2022-03-03,1639982.0,48973678.0,30.1,30.3,29.6,29.8,+0.10,1017.0,False,,,
25.0,2022-03-03,1639982.0,48973678.0,30.1,30.3,29.6,29.8,+0.10,1017.0,False,0.05019305019305035,0.23869356939820746,0.44796732213682894
3.0,2022-03-04,2008075.0,59197643.0,29.6,30.05,29.1,29.1,-0.70,1299.0,False,,,
26.0,2022-03-04,2008075.0,59197643.0,29.6,30.05,29.1,29.1,-0.70,1299.0,False,0.0,0.15912904626547164,0.3516878968463765
4.0,2022-03-07,3361020.0,94580222.0,28.5,28.65,27.6,28.3,-0.80,1827.0,False,,,
27.0,2022-03-07,3361020.0,94580222.0,28.5,28.65,27.6,28.3,-0.80,1827.0,False,0.04827586206896547,0.12217798486663625,0.2751845928531297
5.0,2022-03-08,2533469.0,70632062.0,27.55,28.65,27.3,27.5,-0.80,1389.0,False,,,
28.0,2022-03-08,2533469.0,70632062.0,27.55,28.65,27.3,27.5,-0.80,1389.0,False,0.013513513513513466,0.08595649441559533,0.21210856004061826
6.0,2022-03-09,3300606.0,94398206.0,28.1,29.05,27.75,28.7,+1.20,1648.0,False,,,
29.0,2022-03-09,3300606.0,94398206.0,28.1,29.05,27.75,28.7,+1.20,1648.0,False,0.09459459459459447,0.08883586114192837,0.17101766040772162
30.0,2022-03-10,13206794.0,409766546.0,29.2,31.55,29.2,31.55,+2.85,5028.0,False,0.33073929961089504,0.1694703406315839,0.17050188714900905
7.0,2022-03-10,13206794.0,409766546.0,29.2,31.55,29.2,31.55,+2.85,5028.0,False,,,
8.0,2022-03-11,14938321.0,456791425.0,30.3,31.65,29.8,31.65,+0.10,7022.0,False,1.0,0.6666666666666666,0.5555555555555556
31.0,2022-03-11,14938321.0,456791425.0,30.3,31.65,29.8,31.65,+0.10,7022.0,False,1.0,0.4463135604210559,0.26243911157302463
32.0,2022-03-14,22888335.0,742898144.0,32.5,34.15,31.2,31.7,+0.05,11915.0,False,0.6423357664233577,0.5116542957551564,0.3455108396337352
9.0,2022-03-14,22888335.0,742898144.0,32.5,34.15,31.2,31.7,+0.05,11915.0,False,0.6423357664233577,0.6585563665855636,0.5898891592322248
33.0,2022-03-15,6362461.0,198129100.0,30.8,32.0,30.5,31.2,-0.50,3648.0,False,0.5693430656934306,0.5308838857345811,0.40730185500068383
10.0,2022-03-15,6362461.0,198129100.0,30.8,32.0,30.5,31.2,-0.50,3648.0,False,0.5693430656934306,0.6288185996215192,0.6028656393619896
34.0,2022-03-16,5941814.0,188541773.0,31.9,32.4,31.25,31.55,+0.35,3094.0,False,0.6204379562043798,0.5607352425578473,0.4584463175197383
11.0,2022-03-16,5941814.0,188541773.0,31.9,32.4,31.25,31.55,+0.35,3094.0,False,0.6204379562043798,0.626025051815806,0.6105854435132616
35.0,2022-03-17,19488342.0,656798998.0,32.25,34.6,32.15,34.0,+2.45,9402.0,False,0.9178082191780821,0.6797595680979256,0.5322174010458007
12.0,2022-03-17,19488342.0,656798998.0,32.25,34.6,32.15,34.0,+2.45,9402.0,False,0.9178082191780821,0.7232861076032313,0.6481523315432515
