0,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,filter,rsv,k,d
0.0,2022-03-01,246462.0,378898470.0,1485.0,1570.0,1460.0,1555.0,+115.00,410.0,False,,,
23.0,2022-03-01,246462.0,378898470.0,1485.0,1570.0,1460.0,1555.0,+115.00,410.0,False,0.9444444444444444,0.693820922787057,0.5806770029745343
1.0,2022-03-02,186687.0,289552945.0,1555.0,1595.0,1515.0,1540.0,-15.00,308.0,False,,,
24.0,2022-03-02,186687.0,289552945.0,1555.0,1595.0,1515.0,1540.0,-15.00,308.0,False,0.8135593220338984,0.7337337225360041,0.6316959094950242
2.0,2022-03-03,272571.0,413101465.0,1530.0,1555.0,1490.0,1495.0,-45.00,308.0,False,,,
25.0,2022-03-03,272571.0,413101465.0,1530.0,1555.0,1490.0,1495.0,-45.00,308.0,False,0.6610169491525424,0.7094947980748502,0.6576288723549661
3.0,2022-03-04,67345.0,100080015.0,1495.0,1505.0,1470.0,1490.0,-5.00,131.0,False,,,
26.0,2022-03-04,67345.0,100080015.0,1495.0,1505.0,1470.0,1490.0,-5.00,131.0,False,0.6440677966101694,0.6876857975866233,0.6676478474321852
4.0,2022-03-07,218770.0,316498509.0,1460.0,1495.0,1425.0,1455.0,-35.00,269.0,False,,,
27.0,2022-03-07,218770.0,316498509.0,1460.0,1495.0,1425.0,1455.0,-35.00,269.0,False,0.5254237288135594,0.6335984413289353,0.6562980453977685
5.0,2022-03-08,176060.0,245785175.0,1425.0,1430.0,1370.0,1400.0,-55.00,360.0,False,,,
28.0,2022-03-08,176060.0,245785175.0,1425.0,1430.0,1370.0,1400.0,-55.00,360.0,False,0.22,0.4957322942192902,0.6027761283382757
6.0,2022-03-09,140214.0,195070605.0,1400.0,1410.0,1360.0,1395.0,-5.00,190.0,False,,,
29.0,2022-03-09,140214.0,195070605.0,1400.0,1410.0,1360.0,1395.0,-5.00,190.0,False,0.14893617021276595,0.38013358621711546,0.5285619476312222
30.0,2022-03-10,137652.0,198830410.0,1450.0,1470.0,1400.0,1470.0,+75.00,274.0,False,0.4680851063829787,0.4094507596057365,0.4888582182893936
7.0,2022-03-10,137652.0,198830410.0,1450.0,1470.0,1400.0,1470.0,+75.00,274.0,False,,,
8.0,2022-03-11,48408.0,70070495.0,1435.0,1470.0,1425.0,1450.0,-20.00,178.0,False,0.3829787234042553,0.4609929078014184,0.4869976359338061
31.0,2022-03-11,48408.0,70070495.0,1435.0,1470.0,1425.0,1450.0,-20.00,178.0,False,0.3829787234042553,0.4006267475385761,0.4594477280391211
32.0,2022-03-14,107520.0,152163880.0,1445.0,1450.0,1385.0,1450.0, 0.00,194.0,False,0.3829787234042553,0.39474407282713575,0.4378798429684593
9.0,2022-03-14,107520.0,152163880.0,1445.0,1450.0,1385.0,1450.0, 0.00,194.0,False,0.3829787234042553,0.4349881796690307,0.4696611505122143
33.0,2022-03-15,141726.0,193369605.0,1450.0,1450.0,1310.0,1355.0,-95.00,322.0,False,0.1836734693877551,0.3243872050140089,0.4000489636503091
10.0,2022-03-15,141726.0,193369605.0,1450.0,1450.0,1310.0,1355.0,-95.00,322.0,False,0.1836734693877551,0.3512166095752722,0.4301796368665669
34.0,2022-03-16,130244.0,175792335.0,1355.0,1385.0,1315.0,1365.0,+10.00,168.0,False,0.28205128205128205,0.3102752306930999,0.3701243859979061
11.0,2022-03-16,130244.0,175792335.0,1355.0,1385.0,1315.0,1365.0,+10.00,168.0,False,0.28205128205128205,0.3281615004006088,0.3961735913779142
35.0,2022-03-17,175704.0,251666190.0,1410.0,1455.0,1410.0,1415.0,+50.00,289.0,False,0.5675675675675675,0.3960393429845891,0.37876270499346704
12.0,2022-03-17,175704.0,251666190.0,1410.0,1455.0,1410.0,1415.0,+50.00,289.0,False,0.5675675675675675,0.40796352278959497,0.4001035685151411
36.0,2022-03-18,153813.0,222722610.0,1435.0,1460.0,1415.0,1460.0,+45.00,303.0,False,0.9375,0.5765262286563927,0.4446838795477756
13.0,2022-03-18,153813.0,222722610.0,1435.0,1460.0,1415.0,1460.0,+45.00,303.0,False,0.9375,0.58447568185973,0.4615609396300041
37.0,2022-03-21,52394.0,75645510.0,1455.0,1470.0,1425.0,1435.0,-25.00,92.0,False,0.78125,0.6447674857709285,0.5113784149554932
14.0,2022-03-21,52394.0,75645510.0,1455.0,1470.0,1425.0,1435.0,-25.00,92.0,False,0.78125,0.6500671212398199,0.5243963334999426
38.0,2022-03-22,91669.0,130604285.0,1485.0,1485.0,1405.0,1415.0,-20.00,162.0,False,0.6,0.6298449905139523,0.5508672734749795
15.0,2022-03-22,91669.0,130604285.0,1485.0,1485.0,1405.0,1415.0,-20.00,162.0,False,0.6,0.6333780808265466,0.5607235826088106
16.0,2022-03-23,125790.0,185019645.0,1425.0,1495.0,1420.0,1495.0,+80.00,297.0,False,1.0,0.7555853872176976,0.6256775174784396
39.0,2022-03-23,125790.0,185019645.0,1425.0,1495.0,1420.0,1495.0,+80.00,297.0,False,1.0,0.7532299936759681,0.6183215135419757
17.0,2022-03-24,96764.0,138965425.0,1510.0,1510.0,1415.0,1415.0,-80.00,212.0,False,0.525,0.6787235914784651,0.6433595421451147
40.0,2022-03-24,96764.0,138965425.0,1510.0,1510.0,1415.0,1415.0,-80.00,212.0,False,0.525,0.677153329117312,0.6379321187337544
18.0,2022-03-25,154156.0,211478475.0,1430.0,1430.0,1350.0,1360.0,-55.00,334.0,False,0.25,0.53581572765231,0.6075116039808464
41.0,2022-03-25,154156.0,211478475.0,1430.0,1430.0,1350.0,1360.0,-55.00,334.0,False,0.25,0.5347688860782079,0.6035443745152389
19.0,2022-03-28,155154.0,209020065.0,1355.0,1380.0,1300.0,1365.0,+5.00,242.0,False,0.30952380952380953,0.4603850882761431,0.5584694320792786
42.0,2022-03-28,155154.0,209020065.0,1355.0,1380.0,1300.0,1365.0,+5.00,242.0,False,0.30952380952380953,0.4596871938934084,0.5555919809746287
20.0,2022-03-29,65525.0,90493955.0,1365.0,1395.0,1345.0,1380.0,+15.00,212.0,False,0.3809523809523809,0.4339075191682224,0.5169487944422598
43.0,2022-03-29,65525.0,90493955.0,1365.0,1395.0,1345.0,1380.0,+15.00,212.0,False,0.3809523809523809,0.4334422562463992,0.5148754060652189
21.0,2022-03-30,147283.0,207718530.0,1380.0,1425.0,1380.0,1415.0,+35.00,271.0,False,0.5476190476190477,0.4718113619851641,0.5019029836232278
44.0,2022-03-30,147283.0,207718530.0,1380.0,1425.0,1380.0,1415.0,+35.00,271.0,False,0.5476190476190477,0.4715011867039487,0.5004173329447954
22.0,2022-03-31,182719.0,266249920.0,1415.0,1480.0,1415.0,1460.0,+45.00,293.0,False,0.7619047619047619,0.5685091619583633,0.5241050430682729
45.0,2022-03-31,182719.0,266249920.0,1415.0,1480.0,1415.0,1460.0,+45.00,293.0,False,0.7619047619047619,0.5683023784375529,0.5230456814423813
46.0,2022-04-01,166826.0,246027680.0,1425.0,1495.0,1425.0,1490.0,+30.00,251.0,False,0.9047619047619048,0.6804555538790036,0.5755156389212553
47.0,2022-04-06,269863.0,402801740.0,1510.0,1525.0,1460.0,1500.0,+10.00,371.0,False,0.8888888888888888,0.7499333322156321,0.6336548700193809
48.0,2022-04-07,205156.0,287354085.0,1455.0,1465.0,1375.0,1380.0,-120.00,350.0,False,0.3555555555555556,0.6184740733289398,0.6285946044559005
49.0,2022-04-08,89509.0,124363705.0,1385.0,1410.0,1375.0,1385.0,+5.00,151.0,False,0.37777777777777777,0.5382419748118857,0.5984770612412289
50.0,2022-04-11,105435.0,148454155.0,1425.0,1425.0,1390.0,1415.0,+30.00,220.0,False,0.5111111111111111,0.5291983535782941,0.5753841586869173
51.0,2022-04-12,148411.0,209327805.0,1385.0,1435.0,1380.0,1395.0,-20.00,164.0,False,0.2777777777777778,0.445391494978122,0.5320532707839856
52.0,2022-04-13,67363.0,95172700.0,1395.0,1445.0,1380.0,1425.0,+30.00,104.0,False,0.3333333333333333,0.4080387744298591,0.4907151053326101
53.0,2022-04-14,40388.0,57632695.0,1415.0,1460.0,1415.0,1415.0,-10.00,73.0,False,0.26666666666666666,0.36091473850879496,0.4474483163913383
54.0,2022-04-15,63628.0,88633685.0,1415.0,1415.0,1380.0,1390.0,-25.00,122.0,False,0.1,0.2739431590058633,0.3896132639295133
55.0,2022-04-18,34184.0,47881110.0,1360.0,1410.0,1360.0,1410.0,+20.00,64.0,False,0.30303030303030304,0.2836388736806765,0.35428846717990103
56.0,2022-04-19,90205.0,124868155.0,1410.0,1430.0,1360.0,1360.0,-50.00,137.0,False,0.0,0.18909258245378435,0.29922317227119544
57.0,2022-04-20,133326.0,176627295.0,1345.0,1360.0,1310.0,1310.0,-50.00,219.0,False,0.0,0.12606172163585622,0.24150268872608235
58.0,2022-04-21,148401.0,194796810.0,1300.0,1340.0,1290.0,1300.0,-10.00,244.0,False,0.05882352941176471,0.10364899089449238,0.1955514561155524
59.0,2022-04-22,141343.0,187498285.0,1290.0,1340.0,1290.0,1335.0,+35.00,234.0,False,0.2647058823529412,0.15733462138064194,0.1828125112039156
60.0,2022-04-25,196449.0,251623105.0,1315.0,1330.0,1240.0,1290.0,-45.00,329.0,False,0.2272727272727273,0.1806473233446704,0.18209078191750047
61.0,2022-04-26,103927.0,130469640.0,1285.0,1315.0,1225.0,1275.0,-15.00,181.0,False,0.2127659574468085,0.1913535347120497,0.18517836618235026
62.0,2022-04-27,251762.0,318707875.0,1275.0,1285.0,1255.0,1265.0,-10.00,295.0,False,0.1951219512195122,0.19260967354787054,0.18765546863752364
63.0,2022-04-28,141776.0,182165780.0,1280.0,1300.0,1255.0,1295.0,+30.00,275.0,False,0.3414634146341464,0.2422275872432958,0.20584617483944767
64.0,2022-04-29,99256.0,129497500.0,1295.0,1320.0,1295.0,1305.0,+10.00,122.0,False,0.3902439024390244,0.2915663589752053,0.2344195695513669
65.0,2022-05-03,77267.0,100098590.0,1300.0,1305.0,1265.0,1300.0,-5.00,97.0,False,0.5555555555555556,0.3795627578353221,0.2828006323126853
66.0,2022-05-04,139135.0,181622965.0,1300.0,1320.0,1295.0,1300.0, 0.00,109.0,False,0.6521739130434783,0.4704331429047074,0.345344802510026
