0,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,filter,rsv,k,d
0.0,2022-03-01,487044.0,181146696.0,369.0,377.5,363.0,370.0,+4.00,508.0,False,,,
23.0,2022-03-01,487044.0,181146696.0,369.0,377.5,363.0,370.0,+4.00,508.0,False,0.0603448275862069,0.40432110430737694,0.5979463552307931
1.0,2022-03-02,448909.0,161181240.0,364.5,366.5,352.5,363.0,-7.00,525.0,False,,,
24.0,2022-03-02,448909.0,161181240.0,364.5,366.5,352.5,363.0,-7.00,525.0,False,0.08300395256916998,0.297215387061308,0.497702699174298
2.0,2022-03-03,1104246.0,429379717.0,369.5,398.0,369.5,391.5,+28.50,1113.0,False,,,
25.0,2022-03-03,1104246.0,429379717.0,369.5,398.0,369.5,391.5,+28.50,1113.0,False,0.308300395256917,0.30091038979317764,0.4321052627139245
3.0,2022-03-04,1561992.0,637759041.0,384.0,419.5,383.5,408.5,+17.00,1649.0,False,,,
26.0,2022-03-04,1561992.0,637759041.0,384.0,419.5,383.5,408.5,+17.00,1649.0,False,0.4765957446808511,0.35947217475573545,0.4078942333945281
4.0,2022-03-07,1047104.0,399903243.0,401.5,405.0,370.0,376.5,-32.00,1059.0,False,,,
27.0,2022-03-07,1047104.0,399903243.0,401.5,405.0,370.0,376.5,-32.00,1059.0,False,0.20425531914893616,0.3077332228868023,0.3745072298919528
5.0,2022-03-08,961427.0,353272762.0,376.0,383.5,358.5,362.5,-14.00,1002.0,False,,,
28.0,2022-03-08,961427.0,353272762.0,376.0,383.5,358.5,362.5,-14.00,1002.0,False,0.0851063829787234,0.23352427625077601,0.3275129120115605
6.0,2022-03-09,310338.0,115039734.0,367.5,378.5,366.0,366.0,+3.50,351.0,False,,,
29.0,2022-03-09,310338.0,115039734.0,367.5,378.5,366.0,366.0,+3.50,351.0,False,0.1148936170212766,0.1939807231742761,0.2830021823991324
30.0,2022-03-10,919313.0,357256636.0,379.0,397.5,377.0,383.5,+17.50,894.0,False,0.2767857142857143,0.22158238687808887,0.26252891722545124
7.0,2022-03-10,919313.0,357256636.0,379.0,397.5,377.0,383.5,+17.50,894.0,False,,,
8.0,2022-03-11,1192846.0,474264166.0,388.0,405.0,382.5,393.5,+10.00,1236.0,False,0.6119402985074627,0.5373134328358209,0.5124378109452736
31.0,2022-03-11,1192846.0,474264166.0,388.0,405.0,382.5,393.5,+10.00,1236.0,False,0.6119402985074627,0.3517016907545468,0.2922531750684831
32.0,2022-03-14,695563.0,280732179.0,400.0,414.0,396.0,399.0,+5.50,795.0,False,0.6940298507462687,0.4658110774184541,0.3501058091851401
9.0,2022-03-14,695563.0,280732179.0,400.0,414.0,396.0,399.0,+5.50,795.0,False,0.6940298507462687,0.5895522388059702,0.5381426202321724
33.0,2022-03-15,468926.0,180827333.0,400.0,401.0,378.0,378.0,-21.00,538.0,False,0.319672131147541,0.4170980953281497,0.3724365712328099
10.0,2022-03-15,468926.0,180827333.0,400.0,401.0,378.0,378.0,-21.00,538.0,False,0.319672131147541,0.4995922029198271,0.5252924811280573
34.0,2022-03-16,588035.0,230755702.0,395.0,401.0,381.5,395.0,+17.00,587.0,False,0.5983606557377049,0.4775189487980014,0.4074640304212071
11.0,2022-03-16,588035.0,230755702.0,395.0,401.0,381.5,395.0,+17.00,587.0,False,0.5983606557377049,0.5325150205257864,0.5276999942606335
35.0,2022-03-17,2576342.0,1100379439.0,413.0,434.5,410.5,433.0,+38.00,2409.0,False,0.9802631578947368,0.6451003518302465,0.4866761375575535
12.0,2022-03-17,2576342.0,1100379439.0,413.0,434.5,410.5,433.0,+38.00,2409.0,False,0.9802631578947368,0.6817643996487698,0.579054796056679
36.0,2022-03-18,2043422.0,906640061.0,431.0,453.5,427.0,443.5,+10.50,2130.0,False,0.8947368421052632,0.7283125152552521,0.5672215967901197
13.0,2022-03-18,2043422.0,906640061.0,431.0,453.5,427.0,443.5,+10.50,2130.0,False,0.8947368421052632,0.7527552138009341,0.6369549353047641
37.0,2022-03-21,1222330.0,551219154.0,451.0,456.5,444.0,451.5,+8.00,1268.0,False,0.9447513812154696,0.8004588039086579,0.6449673324962991
14.0,2022-03-21,1222330.0,551219154.0,451.0,456.5,444.0,451.5,+8.00,1268.0,False,0.9447513812154696,0.8167539362724459,0.6968879356273245
38.0,2022-03-22,920771.0,416678567.0,460.0,460.0,446.0,452.5,+1.00,884.0,False,0.9096385542168676,0.8368520540113944,0.7089289063346642
15.0,2022-03-22,920771.0,416678567.0,460.0,460.0,446.0,452.5,+1.00,884.0,False,0.9096385542168676,0.847715475587253,0.7471637822806341
16.0,2022-03-23,1118461.0,512078831.0,457.5,466.5,449.5,463.0,+10.50,1037.0,False,0.9604519774011301,0.8852943095252119,0.79320729136216
39.0,2022-03-23,1118461.0,512078831.0,457.5,466.5,449.5,463.0,+10.50,1037.0,False,0.9604519774011301,0.8780520284746396,0.7653032803813227
17.0,2022-03-24,828166.0,379568327.0,453.5,479.0,446.0,479.0,+16.00,856.0,False,1.0,0.9235295396834746,0.8366480408025981
40.0,2022-03-24,828166.0,379568327.0,453.5,479.0,446.0,479.0,+16.00,856.0,False,1.0,0.9187013523164262,0.8164359710263571
18.0,2022-03-25,1195749.0,536274992.0,462.0,463.5,437.0,438.0,-41.00,1301.0,False,0.594059405940594,0.8137061617691809,0.8290007477914592
41.0,2022-03-25,1195749.0,536274992.0,462.0,463.5,437.0,438.0,-41.00,1301.0,False,0.594059405940594,0.8104873701911488,0.8144531040812877
19.0,2022-03-28,550814.0,244935268.0,438.0,453.0,430.0,442.0,+4.00,545.0,False,0.6205128205128205,0.749308381350394,0.8024366256444373
42.0,2022-03-28,550814.0,244935268.0,438.0,453.0,430.0,442.0,+4.00,545.0,False,0.6205128205128205,0.7471625202983727,0.7920229094869826
20.0,2022-03-29,651380.0,295588650.0,452.5,459.5,447.0,456.0,+14.00,680.0,False,0.6642335766423357,0.7209501131143745,0.7752744548010829
43.0,2022-03-29,651380.0,295588650.0,452.5,459.5,447.0,456.0,+14.00,680.0,False,0.6642335766423357,0.7195195390796937,0.7678551193512195
21.0,2022-03-30,677886.0,313677205.0,457.5,470.0,457.0,463.0,+7.00,762.0,False,0.6923076923076923,0.7114026395121471,0.7539838497047711
44.0,2022-03-30,677886.0,313677205.0,457.5,470.0,457.0,463.0,+7.00,762.0,False,0.6923076923076923,0.7104489234890266,0.7487197207304885
22.0,2022-03-31,494536.0,223131109.0,464.5,464.5,444.5,445.0,-18.00,535.0,False,0.30612244897959184,0.576309242667962,0.6947589806925012
45.0,2022-03-31,494536.0,223131109.0,464.5,464.5,444.5,445.0,-18.00,535.0,False,0.30612244897959184,0.5756734319858816,0.6910376244822862
46.0,2022-04-01,369786.0,162319585.0,444.0,446.0,431.0,437.5,-7.50,414.0,False,0.15306122448979592,0.4348026961538529,0.6056259817061418
47.0,2022-04-06,881495.0,366444366.0,431.5,431.5,405.0,422.5,-15.00,891.0,False,0.2364864864864865,0.3686972929313975,0.5266497521145603
48.0,2022-04-07,750016.0,308961867.0,419.5,425.0,403.0,403.0,-19.50,794.0,False,0.0,0.2457981952875984,0.4330325665055729
49.0,2022-04-08,361502.0,146981122.0,409.0,415.0,401.0,403.0, 0.00,388.0,False,0.028985507246376805,0.1735272992738578,0.3465308107616679
50.0,2022-04-11,528983.0,205774423.0,396.0,397.0,382.5,385.5,-17.50,579.0,False,0.03428571428571429,0.1271134376111433,0.2733916863781597
51.0,2022-04-12,329879.0,126605789.0,385.5,394.0,376.0,382.5,-3.00,370.0,False,0.06914893617021277,0.10779193713083313,0.21819176996238407
52.0,2022-04-13,289914.0,111258480.0,387.0,391.0,380.5,382.0,-0.50,331.0,False,0.06382978723404255,0.09313788716523627,0.17650714236333484
53.0,2022-04-14,367207.0,139004141.0,390.0,390.0,373.0,373.5,-8.50,465.0,False,0.00546448087431694,0.06391341840159649,0.1389759010427554
54.0,2022-04-15,331522.0,121142153.0,370.0,375.0,362.5,365.0,-8.50,468.0,False,0.02994011976047904,0.052588985521224006,0.11018026253557824
55.0,2022-04-18,304103.0,111872874.0,367.0,375.0,360.5,365.5,+0.50,303.0,False,0.07042253521126761,0.05853350208457188,0.09296467571857613
56.0,2022-04-19,354143.0,130012499.0,373.0,375.0,362.5,365.0,-0.50,386.0,False,0.06976744186046513,0.06227814867653629,0.0827358333712295
57.0,2022-04-20,427272.0,156531358.0,369.0,372.0,359.0,372.0,+7.00,434.0,False,0.23214285714285715,0.1188997181653099,0.09479046163592296
58.0,2022-04-21,657404.0,249229622.0,378.0,387.0,367.0,382.5,+10.50,644.0,False,0.618421052631579,0.2854068296540663,0.15832925097530404
59.0,2022-04-22,518785.0,193063326.0,376.0,382.0,365.0,365.0,-17.50,548.0,False,0.17142857142857146,0.24741407691223466,0.18802419295428088
60.0,2022-04-25,393023.0,137063366.0,356.0,357.0,341.0,351.5,-13.50,459.0,False,0.21,0.2349427179414897,0.20366370128335048
61.0,2022-04-26,179108.0,63095133.0,356.0,357.0,347.0,351.0,-0.50,197.0,False,0.20408163265306128,0.2246556895120136,0.2106610306929048
62.0,2022-04-27,509045.0,171178391.0,333.0,347.0,329.0,347.0,-4.00,553.0,False,0.3103448275862069,0.2532187355367447,0.22484693230751807
63.0,2022-04-28,261216.0,89846948.0,347.0,349.0,337.0,346.0,-1.00,255.0,False,0.29310344827586204,0.26651363978311715,0.2387358347993845
64.0,2022-04-29,268023.0,95005148.0,352.0,362.0,348.0,349.5,+3.50,265.0,False,0.3534482758620689,0.2954918518094344,0.2576545071360677
