0,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,filter,rsv,k,d
0.0,2022-03-01,747603.0,590758801.0,786.0,803.0,775.0,786.0,+10.00,1032.0,False,,,
23.0,2022-03-01,747603.0,590758801.0,786.0,803.0,775.0,786.0,+10.00,1032.0,False,0.9060773480662984,0.7419542954014543,0.7149203800402306
1.0,2022-03-02,457559.0,358221963.0,780.0,792.0,775.0,786.0, 0.00,716.0,False,,,
24.0,2022-03-02,457559.0,358221963.0,780.0,792.0,775.0,786.0, 0.00,716.0,False,0.9034090909090908,0.7957725605706665,0.7418711068837092
2.0,2022-03-03,1073983.0,833082449.0,795.0,801.0,759.0,760.0,-26.00,1720.0,False,,,
25.0,2022-03-03,1073983.0,833082449.0,795.0,801.0,759.0,760.0,-26.00,1720.0,False,0.7556818181818182,0.7824089797743836,0.7553837311806006
3.0,2022-03-04,1559783.0,1137723187.0,750.0,757.0,708.0,713.0,-47.00,3430.0,False,,,
26.0,2022-03-04,1559783.0,1137723187.0,750.0,757.0,708.0,713.0,-47.00,3430.0,False,0.4886363636363637,0.6844847743950435,0.7317507455854149
4.0,2022-03-07,1712421.0,1115741842.0,698.0,698.0,642.0,646.0,-67.00,3314.0,False,,,
27.0,2022-03-07,1712421.0,1115741842.0,698.0,698.0,642.0,646.0,-67.00,3314.0,False,0.10795454545454546,0.4923080314148775,0.6519365075285689
5.0,2022-03-08,1504276.0,929647557.0,633.0,650.0,595.0,610.0,-36.00,2799.0,False,,,
28.0,2022-03-08,1504276.0,929647557.0,633.0,650.0,595.0,610.0,-36.00,2799.0,False,0.07211538461538461,0.3522438158150465,0.5520389436240615
6.0,2022-03-09,891653.0,543952159.0,623.0,626.0,598.0,601.0,-9.00,1685.0,False,,,
29.0,2022-03-09,891653.0,543952159.0,623.0,626.0,598.0,601.0,-9.00,1685.0,False,0.02884615384615385,0.2444445951587489,0.449507494135624
30.0,2022-03-10,1318232.0,849803810.0,621.0,661.0,617.0,661.0,+60.00,2005.0,False,0.3173076923076923,0.2687322942083967,0.3892490941598815
7.0,2022-03-10,1318232.0,849803810.0,621.0,661.0,617.0,661.0,+60.00,2005.0,False,,,
8.0,2022-03-11,2283910.0,1399702381.0,646.0,646.0,595.0,610.0,-51.00,3930.0,False,0.07211538461538461,0.3573717948717948,0.4524572649572649
31.0,2022-03-11,2283910.0,1399702381.0,646.0,646.0,595.0,610.0,-51.00,3930.0,False,0.07211538461538461,0.20319332434405926,0.3272305042212741
32.0,2022-03-14,1536185.0,893984471.0,598.0,609.0,563.0,576.0,-34.00,3098.0,False,0.0546218487394958,0.15366949914253816,0.2693768358616954
9.0,2022-03-14,1536185.0,893984471.0,598.0,609.0,563.0,576.0,-34.00,3098.0,False,0.0546218487394958,0.2564551461610285,0.3871232253585194
