0,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,filter,rsv,k,d
0.0,2022-03-01,10133384.0,5520597425.0,534.0,562.0,530.0,539.0,+15.00,8815.0,False,,,
23.0,2022-03-01,10133384.0,5520597425.0,534.0,562.0,530.0,539.0,+15.00,8815.0,False,0.7012987012987013,0.7659152472658665,0.7764063090051984
1.0,2022-03-02,3477517.0,1882604101.0,535.0,551.0,532.0,548.0,+9.00,3368.0,False,,,
24.0,2022-03-02,3477517.0,1882604101.0,535.0,551.0,532.0,548.0,+9.00,3368.0,False,0.7627118644067796,0.7648474529795042,0.7725533569966336
2.0,2022-03-03,5817939.0,3172543808.0,562.0,566.0,532.0,535.0,-13.00,5828.0,False,,,
25.0,2022-03-03,5817939.0,3172543808.0,562.0,566.0,532.0,535.0,-13.00,5828.0,False,0.4833333333333333,0.6710094130974472,0.7387053756969048
3.0,2022-03-04,4668936.0,2527762588.0,531.0,548.0,530.0,547.0,+12.00,4206.0,False,,,
26.0,2022-03-04,4668936.0,2527762588.0,531.0,548.0,530.0,547.0,+12.00,4206.0,False,0.6833333333333333,0.6751173865094092,0.7175093793010728
4.0,2022-03-07,8214266.0,4148486294.0,536.0,537.0,494.5,494.5,-52.50,9132.0,False,,,
27.0,2022-03-07,8214266.0,4148486294.0,536.0,537.0,494.5,494.5,-52.50,9132.0,False,0.0,0.45007825767293946,0.6283656720916949
5.0,2022-03-08,6880158.0,3361056408.0,478.0,504.0,475.5,475.5,-19.00,7007.0,False,,,
28.0,2022-03-08,6880158.0,3361056408.0,478.0,504.0,475.5,475.5,-19.00,7007.0,False,0.0,0.30005217178195964,0.5189278386551165
6.0,2022-03-09,4047341.0,1965760532.0,493.5,494.5,479.0,486.5,+11.00,3788.0,False,,,
29.0,2022-03-09,4047341.0,1965760532.0,493.5,494.5,479.0,486.5,+11.00,3788.0,False,0.12154696132596685,0.2405504349632953,0.4261353707578428
30.0,2022-03-10,4080443.0,2042667206.0,505.0,506.0,495.0,498.5,+12.00,3585.0,False,0.2541436464088398,0.2450815054451435,0.36578408232027626
7.0,2022-03-10,4080443.0,2042667206.0,505.0,506.0,495.0,498.5,+12.00,3585.0,False,,,
8.0,2022-03-11,3392798.0,1663279747.0,495.0,505.0,482.0,489.0,-9.50,4254.0,False,0.14917127071823205,0.38305709023941065,0.4610190300798035
31.0,2022-03-11,3392798.0,1663279747.0,495.0,505.0,482.0,489.0,-9.50,4254.0,False,0.14917127071823205,0.21311142720283965,0.31489319728113074
