0,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,filter,rsv,k,d
0.0,2022-03-01,43112.0,1054225.0,24.4,24.55,24.35,24.5,+0.15,94.0,False,,,
23.0,2022-03-01,43112.0,1054225.0,24.4,24.55,24.35,24.5,+0.15,94.0,False,0.8000000000000019,0.5276019415906619,0.41816367870878135
1.0,2022-03-02,21278.0,521715.0,24.75,24.75,24.45,24.55,+0.05,61.0,False,,,
24.0,2022-03-02,21278.0,521715.0,24.75,24.75,24.45,24.55,+0.05,61.0,False,0.7647058823529425,0.606636588511422,0.4809879819763282
2.0,2022-03-03,31341.0,761681.0,24.4,24.5,24.2,24.4,-0.15,106.0,False,,,
25.0,2022-03-03,31341.0,761681.0,24.4,24.5,24.2,24.4,-0.15,106.0,False,0.5882352941176461,0.6005028237134966,0.5208262625553843
3.0,2022-03-04,15900.0,389486.0,24.6,24.6,24.35,24.5,+0.10,139.0,False,,,
26.0,2022-03-04,15900.0,389486.0,24.6,24.6,24.35,24.5,+0.10,139.0,False,0.7058823529411771,0.6356293334560568,0.5590939528556085
4.0,2022-03-07,67790.0,1642343.0,25.2,25.2,24.0,24.25,-0.25,233.0,False,,,
27.0,2022-03-07,67790.0,1642343.0,25.2,25.2,24.0,24.25,-0.25,233.0,False,0.26923076923077016,0.5134964787142946,0.5438947948085038
5.0,2022-03-08,36892.0,895003.0,24.8,24.8,24.0,24.2,-0.05,148.0,False,,,
28.0,2022-03-08,36892.0,895003.0,24.8,24.8,24.0,24.2,-0.05,148.0,False,0.1666666666666662,0.3978865413650851,0.4952253769940309
6.0,2022-03-09,29491.0,723593.0,24.4,24.75,24.35,24.5,+0.30,88.0,False,,,
29.0,2022-03-09,29491.0,723593.0,24.4,24.75,24.35,24.5,+0.30,88.0,False,0.4166666666666669,0.40414658313227897,0.4648657790401136
30.0,2022-03-10,27694.0,680795.0,24.6,24.85,24.4,24.55,+0.05,70.0,False,0.4583333333333342,0.4222088331992974,0.4506467970931748
7.0,2022-03-10,27694.0,680795.0,24.6,24.85,24.4,24.55,+0.05,70.0,False,,,
8.0,2022-03-11,49943.0,1212750.0,24.55,24.55,24.15,24.2,-0.35,72.0,False,0.1666666666666662,0.3888888888888887,0.4629629629629629
31.0,2022-03-11,49943.0,1212750.0,24.55,24.55,24.15,24.2,-0.35,72.0,False,0.1666666666666662,0.3370281110217537,0.4127739017360344
32.0,2022-03-14,17614.0,426922.0,24.25,24.25,24.15,24.2, 0.00,109.0,False,0.1666666666666662,0.2802409629033912,0.3685962554584866
9.0,2022-03-14,17614.0,426922.0,24.25,24.25,24.15,24.2, 0.00,109.0,False,0.1666666666666662,0.3148148148148145,0.4135802469135801
33.0,2022-03-15,106658.0,2549954.0,24.2,24.2,23.8,23.8,-0.40,205.0,False,0.0,0.1868273086022608,0.3080066065064113
10.0,2022-03-15,106658.0,2549954.0,24.2,24.2,23.8,23.8,-0.40,205.0,False,0.0,0.2098765432098764,0.3456790123456788
34.0,2022-03-16,24255.0,578998.0,23.85,23.95,23.8,23.85,+0.05,85.0,False,0.03571428571428626,0.13645630097293593,0.25082317132858617
11.0,2022-03-16,24255.0,578998.0,23.85,23.95,23.8,23.85,+0.05,85.0,False,0.03571428571428626,0.15182245737801298,0.2810601606897902
35.0,2022-03-17,24754.0,595994.0,23.95,24.3,23.9,24.15,+0.30,55.0,False,0.2499999999999987,0.1743042006486235,0.2253168477685986
12.0,2022-03-17,24754.0,595994.0,23.95,24.3,23.9,24.15,+0.30,55.0,False,0.2499999999999987,0.18454830491867488,0.2488895420994184
36.0,2022-03-18,12631.0,303834.0,23.95,24.1,23.95,24.1,-0.05,89.0,False,0.2857142857142862,0.21144089567051105,0.2206915304025694
13.0,2022-03-18,12631.0,303834.0,23.95,24.1,23.95,24.1,-0.05,89.0,False,0.2857142857142862,0.218270298517212,0.23868312757201626
37.0,2022-03-21,60093.0,1447753.0,24.3,24.3,24.0,24.0,-0.10,127.0,False,0.1904761904761897,0.20445266060573725,0.2152785738036253
14.0,2022-03-21,60093.0,1447753.0,24.3,24.3,24.0,24.0,-0.10,127.0,False,0.1904761904761897,0.2090055958368712,0.2287906169936345
38.0,2022-03-22,18734.0,449992.0,24.0,24.1,24.0,24.1,+0.10,76.0,False,0.2857142857142862,0.23153986897525355,0.22069900552750127
15.0,2022-03-22,18734.0,449992.0,24.0,24.1,24.0,24.1,+0.10,76.0,False,0.2857142857142862,0.23457515912934285,0.2307187977055373
16.0,2022-03-23,40928.0,995177.0,24.15,24.4,24.15,24.3,+0.20,94.0,False,0.6666666666666666,0.3786056616417841,0.2800144190176196
39.0,2022-03-23,40928.0,995177.0,24.15,24.4,24.15,24.3,+0.20,94.0,False,0.6666666666666666,0.3765821348723912,0.2726600486424646
17.0,2022-03-24,9814.0,237435.0,24.05,24.15,24.05,24.15,-0.15,81.0,False,0.5833333333333318,0.44684821887230003,0.3356256856358464
40.0,2022-03-24,9814.0,237435.0,24.05,24.15,24.05,24.15,-0.15,81.0,False,0.5833333333333318,0.4454992010260381,0.3302730994369891
18.0,2022-03-25,25112.0,609819.0,24.65,24.65,24.15,24.15, 0.00,102.0,False,0.4117647058823515,0.4351537145423171,0.3688016952713366
41.0,2022-03-25,25112.0,609819.0,24.65,24.65,24.15,24.15, 0.00,102.0,False,0.4117647058823515,0.4342543693114759,0.3649335227284847
19.0,2022-03-28,36161.0,867164.0,24.05,24.15,23.9,23.9,-0.25,132.0,False,0.1176470588235272,0.3293181626360538,0.3556405177262423
42.0,2022-03-28,36161.0,867164.0,24.05,24.15,23.9,23.9,-0.25,132.0,False,0.1176470588235272,0.3287185991488263,0.3528618815352652
20.0,2022-03-29,10076.0,242679.0,24.0,24.15,24.0,24.15,+0.25,98.0,False,0.3333333333333333,0.3306565528684803,0.3473125294403216
43.0,2022-03-29,10076.0,242679.0,24.0,24.15,24.0,24.15,+0.25,98.0,False,0.3333333333333333,0.3302568438769953,0.3453268689825085
21.0,2022-03-30,38442.0,930667.0,24.15,24.35,24.15,24.2,+0.05,97.0,False,0.40000000000000097,0.3537710352456538,0.3494653647087657
44.0,2022-03-30,38442.0,930667.0,24.15,24.35,24.15,24.2,+0.05,97.0,False,0.40000000000000097,0.3535045625846638,0.3480527668498936
22.0,2022-03-31,15240.0,369477.0,24.3,24.3,24.15,24.25,+0.05,95.0,False,0.4666666666666686,0.391402912385992,0.3634445472678411
45.0,2022-03-31,15240.0,369477.0,24.3,24.3,24.15,24.25,+0.05,95.0,False,0.4666666666666686,0.391225263945332,0.3624435992150397
46.0,2022-04-01,21473.0,519649.0,24.25,24.25,24.1,24.1,-0.15,118.0,False,0.26666666666667044,0.34970573151911144,0.3581976433163969
47.0,2022-04-06,2274.0,55452.0,24.35,24.35,24.35,24.35,+0.25,44.0,False,0.6000000000000038,0.4331371543460755,0.3831774803262898
48.0,2022-04-07,13799.0,334344.0,24.3,24.3,24.05,24.25,-0.10,98.0,False,0.4666666666666686,0.4443136584529399,0.4035562063685065
49.0,2022-04-08,16605.0,402524.0,24.35,24.35,24.15,24.3,+0.05,66.0,False,0.5333333333333362,0.473986883413072,0.4270330987166949
50.0,2022-04-11,17332.0,419553.0,24.4,24.4,24.05,24.05,-0.25,104.0,False,0.30000000000000426,0.415991255608716,0.4233524843473686
51.0,2022-04-12,19420.0,467321.0,24.1,24.1,23.95,24.1,+0.05,88.0,False,0.3333333333333386,0.3884386148502569,0.41171452784833135
52.0,2022-04-13,41592.0,1001885.0,24.1,24.15,23.95,24.15,+0.05,97.0,False,0.4444444444444436,0.4071072247149858,0.4101787601372161
53.0,2022-04-14,29400.0,709441.0,23.95,24.25,23.95,24.15, 0.00,124.0,False,0.4444444444444436,0.419552964624805,0.4133034949664124
54.0,2022-04-15,13313.0,321702.0,24.35,24.5,24.0,24.05,-0.10,72.0,False,0.18181818181818413,0.34030803702259804,0.3889716756518076
55.0,2022-04-18,14269.0,344114.0,24.05,24.1,24.05,24.05, 0.00,99.0,False,0.18181818181818413,0.2874780852877934,0.35514047886380284
56.0,2022-04-19,10780.0,261241.0,24.25,24.25,24.1,24.1,+0.05,66.0,False,0.27272727272727626,0.28256114776762103,0.3309473684984089
57.0,2022-04-20,20833.0,504380.0,24.1,24.3,24.1,24.15,+0.05,92.0,False,0.36363636363636187,0.3095862197238679,0.3238269855735619
58.0,2022-04-21,31198.0,750981.0,24.1,24.15,24.0,24.0,-0.15,118.0,False,0.09090909090909208,0.23669384345227595,0.29478260486646657
