0,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,filter,rsv,k,d
0.0,2022-03-01,135979.0,2015681.0,14.85,14.95,14.7,14.7,0.2,171.0,False,,,
23.0,2022-03-01,135979.0,2015681.0,14.85,14.95,14.7,14.7,0.2,171.0,False,0.7368421052631577,0.483214459139445,0.3683160880175225
1.0,2022-03-02,46317.0,683401.0,14.8,14.8,14.65,14.75,0.05,144.0,False,,,
24.0,2022-03-02,46317.0,683401.0,14.8,14.8,14.65,14.75,0.05,144.0,False,0.7894736842105269,0.5853008674964721,0.440644347843839
2.0,2022-03-03,73077.0,1088486.0,14.8,15.05,14.75,14.9,0.15,119.0,False,,,
25.0,2022-03-03,73077.0,1088486.0,14.8,15.05,14.75,14.9,0.15,119.0,False,0.8571428571428569,0.6759148640452671,0.5190678532443149
3.0,2022-03-04,56551.0,837418.0,15.05,15.05,14.7,14.75,-0.15,115.0,False,,,
26.0,2022-03-04,56551.0,837418.0,15.05,15.05,14.7,14.75,-0.15,115.0,False,0.7142857142857139,0.6887051474587492,0.5756136179824596
4.0,2022-03-07,112166.0,1625742.0,14.7,14.75,14.35,14.45,-0.3,331.0,False,,,
27.0,2022-03-07,112166.0,1625742.0,14.7,14.75,14.35,14.45,-0.3,331.0,False,0.4285714285714276,0.6019939078296419,0.5844070479315203
5.0,2022-03-08,233638.0,3309863.0,14.35,14.45,13.95,14.0,-0.45,385.0,False,,,
28.0,2022-03-08,233638.0,3309863.0,14.35,14.45,13.95,14.0,-0.45,385.0,False,0.04545454545454604,0.4164807870379433,0.5284316276336614
6.0,2022-03-09,54129.0,773992.0,14.2,14.4,14.2,14.35,0.35,190.0,False,,,
29.0,2022-03-09,54129.0,773992.0,14.2,14.4,14.2,14.35,0.35,190.0,False,0.3636363636363635,0.3988659792374167,0.4852430781682464
30.0,2022-03-10,79981.0,1159094.0,14.75,14.75,14.35,14.5,0.15,141.0,False,0.5,0.4325773194916111,0.4676878252760346
7.0,2022-03-10,79981.0,1159094.0,14.75,14.75,14.35,14.5,0.15,141.0,False,,,
8.0,2022-03-11,64294.0,923175.0,14.5,14.5,14.25,14.3,-0.2,160.0,False,0.31818181818181906,0.4393939393939397,0.4797979797979799
31.0,2022-03-11,64294.0,923175.0,14.5,14.5,14.25,14.3,-0.2,160.0,False,0.31818181818181906,0.3944454857216804,0.4432737120912498
32.0,2022-03-14,47452.0,672325.0,14.3,14.3,14.1,14.25,-0.05,167.0,False,0.27272727272727304,0.3538727480568779,0.4134733907464592
9.0,2022-03-14,47452.0,672325.0,14.3,14.3,14.1,14.25,-0.05,167.0,False,0.27272727272727304,0.3838383838383841,0.447811447811448
33.0,2022-03-15,99842.0,1408783.0,14.2,14.2,14.0,14.05,-0.2,203.0,False,0.09090909090909208,0.2662181956742826,0.3643883257224003
10.0,2022-03-15,99842.0,1408783.0,14.2,14.2,14.0,14.05,-0.2,203.0,False,0.09090909090909208,0.2861952861952868,0.3939393939393942
34.0,2022-03-16,85217.0,1203383.0,14.1,14.2,14.0,14.2,0.15,158.0,False,0.22727272727272704,0.2532363728737641,0.3273376747728549
11.0,2022-03-16,85217.0,1203383.0,14.1,14.2,14.0,14.2,0.15,158.0,False,0.22727272727272704,0.2665544332211002,0.3514777403666295
35.0,2022-03-17,77385.0,1103630.0,14.45,14.45,14.2,14.3,0.1,106.0,False,0.4375000000000014,0.31465758191584314,0.3231109771538509
12.0,2022-03-17,77385.0,1103630.0,14.45,14.45,14.2,14.3,0.1,106.0,False,0.4375000000000014,0.3235362888140673,0.34216392318244204
36.0,2022-03-18,22752.0,323461.0,14.15,14.3,14.15,14.3,0.0,98.0,False,0.4375000000000014,0.3556050546105626,0.33394233630608816
13.0,2022-03-18,22752.0,323461.0,14.15,14.3,14.15,14.3,0.0,98.0,False,0.4375000000000014,0.361524192542712,0.34861734630253194
37.0,2022-03-21,46720.0,664291.0,14.3,14.3,14.15,14.25,-0.05,117.0,False,0.3333333333333333,0.3481811475181528,0.3386886067101097
14.0,2022-03-21,46720.0,664291.0,14.3,14.3,14.15,14.25,-0.05,117.0,False,0.3333333333333333,0.3521272394729191,0.34978731069266106
