0,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,filter,rsv,k,d
0.0,2022-03-01,1834275.0,191217531.0,102.5,105.5,102.0,105.0,+4.50,1298.0,False,,,
23.0,2022-03-01,1834275.0,191217531.0,102.5,105.5,102.0,105.0,+4.50,1298.0,False,0.17647058823529413,0.3697781012791948,0.4927642500980355
1.0,2022-03-02,1595293.0,168348174.0,105.0,107.0,104.0,107.0,+2.00,1248.0,False,,,
24.0,2022-03-02,1595293.0,168348174.0,105.0,107.0,104.0,107.0,+2.00,1248.0,False,0.29411764705882354,0.34455794987240435,0.4433621500228251
2.0,2022-03-03,2482585.0,266326403.0,109.0,109.0,105.5,107.5,+0.50,2056.0,False,,,
25.0,2022-03-03,2482585.0,266326403.0,109.0,109.0,105.5,107.5,+0.50,2056.0,False,0.3793103448275862,0.3561420815241316,0.4142887938565939
3.0,2022-03-04,1394195.0,147273738.0,106.5,107.0,104.0,104.0,-3.50,1497.0,False,,,
26.0,2022-03-04,1394195.0,147273738.0,106.5,107.0,104.0,104.0,-3.50,1497.0,False,0.13793103448275862,0.28340506584367403,0.3706608845189539
4.0,2022-03-07,1597483.0,161169334.0,103.0,103.0,100.0,100.5,-3.50,1362.0,False,,,
27.0,2022-03-07,1597483.0,161169334.0,103.0,103.0,100.0,100.5,-3.50,1362.0,False,0.03125,0.19935337722911609,0.3135583820890079
5.0,2022-03-08,2018450.0,202810204.0,99.5,103.0,99.4,99.5,-1.00,1576.0,False,,,
28.0,2022-03-08,2018450.0,202810204.0,99.5,103.0,99.4,99.5,-1.00,1576.0,False,0.006024096385541828,0.13491028361459126,0.254009015930869
6.0,2022-03-09,1044445.0,105510652.0,101.5,102.0,100.0,101.5,+2.00,851.0,False,,,
29.0,2022-03-09,1044445.0,105510652.0,101.5,102.0,100.0,101.5,+2.00,851.0,False,0.12650602409638526,0.13210886377518927,0.21337563187897574
30.0,2022-03-10,2570471.0,269022918.0,104.0,105.5,103.5,105.0,+3.50,1648.0,False,0.35897435897435875,0.2077306955082457,0.2114939864220657
7.0,2022-03-10,2570471.0,269022918.0,104.0,105.5,103.5,105.0,+3.50,1648.0,False,,,
8.0,2022-03-11,1566639.0,164962622.0,105.5,106.0,104.0,105.0, 0.00,1299.0,False,0.583333333333333,0.5277777777777777,0.5092592592592592
31.0,2022-03-11,1566639.0,164962622.0,105.5,106.0,104.0,105.0, 0.00,1299.0,False,0.583333333333333,0.33293157478327484,0.25197318254246875
32.0,2022-03-14,945303.0,99552736.0,106.5,107.0,104.5,105.0, 0.00,840.0,False,0.583333333333333,0.4163988276332942,0.30678173090607724
9.0,2022-03-14,945303.0,99552736.0,106.5,107.0,104.5,105.0, 0.00,840.0,False,0.583333333333333,0.5462962962962961,0.5216049382716048
33.0,2022-03-15,4457133.0,472094238.0,108.0,109.0,104.0,104.5,-0.50,3294.0,False,0.5312499999999997,0.4546825517555294,0.3560820045225612
10.0,2022-03-15,4457133.0,472094238.0,108.0,109.0,104.0,104.5,-0.50,3294.0,False,0.5312499999999997,0.5412808641975306,0.5281635802469133
34.0,2022-03-16,2806271.0,296558168.0,106.0,107.0,104.0,105.0,+0.50,2069.0,False,0.583333333333333,0.4975661456147972,0.4032433848866399
11.0,2022-03-16,2806271.0,296558168.0,106.0,107.0,104.0,105.0,+0.50,2069.0,False,0.583333333333333,0.5552983539094647,0.537208504801097
35.0,2022-03-17,9785862.0,1072930157.0,108.0,112.0,107.5,112.0,+7.00,5736.0,False,1.0,0.6650440970765314,0.490510288949937
12.0,2022-03-17,9785862.0,1072930157.0,108.0,112.0,107.5,112.0,+7.00,5736.0,False,1.0,0.7035322359396431,0.5926497485139457
36.0,2022-03-18,12956075.0,1474126029.0,112.0,116.5,109.5,114.0,+2.00,10155.0,False,0.8538011695906432,0.7279631212479021,0.5696612330492586
13.0,2022-03-18,12956075.0,1474126029.0,112.0,116.5,109.5,114.0,+2.00,10155.0,False,0.8538011695906432,0.7536218804899765,0.6463071258392893
