0,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,filter,rsv,k,d
0.0,2022-03-01,1030066.0,1041371232.0,970.0,1040.0,967.0,1030.0,+47.00,1906.0,False,,,
23.0,2022-03-01,1030066.0,1041371232.0,970.0,1040.0,967.0,1030.0,+47.00,1906.0,False,0.9431818181818182,0.7856067293980744,0.7378412869514783
1.0,2022-03-02,984938.0,976706767.0,1015.0,1040.0,981.0,992.0,-38.00,3137.0,False,,,
24.0,2022-03-02,984938.0,976706767.0,1015.0,1040.0,981.0,992.0,-38.00,3137.0,False,0.6942675159235668,0.7551603249065718,0.7436142996031762
2.0,2022-03-03,564236.0,560555848.0,999.0,1010.0,983.0,990.0,-2.00,1643.0,False,,,
25.0,2022-03-03,564236.0,560555848.0,999.0,1010.0,983.0,990.0,-2.00,1643.0,False,0.6503496503496503,0.720223433387598,0.7358173441979834
3.0,2022-03-04,1137788.0,1079607160.0,976.0,990.0,933.0,945.0,-45.00,4906.0,False,,,
26.0,2022-03-04,1137788.0,1079607160.0,976.0,990.0,933.0,945.0,-45.00,4906.0,False,0.3356643356643357,0.5920370674798439,0.6878905852919368
4.0,2022-03-07,801459.0,729140001.0,921.0,940.0,892.0,905.0,-40.00,3285.0,False,,,
27.0,2022-03-07,801459.0,729140001.0,921.0,940.0,892.0,905.0,-40.00,3285.0,False,0.08783783783783784,0.4239706575991751,0.5999172760610162
5.0,2022-03-08,811386.0,721957449.0,887.0,903.0,880.0,891.0,-14.00,2639.0,False,,,
28.0,2022-03-08,811386.0,721957449.0,887.0,903.0,880.0,891.0,-14.00,2639.0,False,0.06875,0.3055637717327834,0.5017994412849386
6.0,2022-03-09,651539.0,597710345.0,905.0,939.0,900.0,908.0,+17.00,1485.0,False,,,
29.0,2022-03-09,651539.0,597710345.0,905.0,939.0,900.0,908.0,+17.00,1485.0,False,0.175,0.2620425144885222,0.4218804656861331
30.0,2022-03-10,601447.0,560395854.0,926.0,940.0,920.0,940.0,+32.00,1348.0,False,0.375,0.2996950096590148,0.3811519803437603
7.0,2022-03-10,601447.0,560395854.0,926.0,940.0,920.0,940.0,+32.00,1348.0,False,,,
8.0,2022-03-11,920910.0,819111613.0,924.0,930.0,865.0,868.0,-72.00,4166.0,False,0.017142857142857144,0.33904761904761904,0.4463492063492063
31.0,2022-03-11,920910.0,819111613.0,924.0,930.0,865.0,868.0,-72.00,4166.0,False,0.017142857142857144,0.2055109588202956,0.3226049731692721
32.0,2022-03-14,782294.0,707895445.0,898.0,919.0,890.0,898.0,+30.00,1626.0,False,0.18857142857142856,0.1998644487373399,0.28169146502529463
9.0,2022-03-14,782294.0,707895445.0,898.0,919.0,890.0,898.0,+30.00,1626.0,False,0.18857142857142856,0.2888888888888889,0.3938624338624338
33.0,2022-03-15,717033.0,609538873.0,890.0,892.0,837.0,837.0,-61.00,3380.0,False,0.0,0.13324296582489326,0.2322086319584941
10.0,2022-03-15,717033.0,609538873.0,890.0,892.0,837.0,837.0,-61.00,3380.0,False,0.0,0.19259259259259254,0.3267724867724867
34.0,2022-03-16,566995.0,496626354.0,877.0,887.0,863.0,870.0,+33.00,1393.0,False,0.215686274509804,0.16072406871986347,0.2083804442122839
11.0,2022-03-16,566995.0,496626354.0,877.0,887.0,863.0,870.0,+33.00,1393.0,False,0.215686274509804,0.20029048656499635,0.2846118200366566
35.0,2022-03-17,676150.0,618709354.0,901.0,933.0,900.0,902.0,+32.00,1745.0,False,0.6310679611650486,0.3175053662015918,0.2447554182087199
12.0,2022-03-17,676150.0,618709354.0,901.0,933.0,900.0,902.0,+32.00,1745.0,False,0.6310679611650486,0.34388297809834706,0.30436887272388674
36.0,2022-03-18,375338.0,331061412.0,898.0,898.0,875.0,882.0,-20.00,1335.0,False,0.4368932038834951,0.3573013120955596,0.2822707161709997
13.0,2022-03-18,375338.0,331061412.0,898.0,898.0,875.0,882.0,-20.00,1335.0,False,0.4368932038834951,0.3748863866933964,0.3278747107137233
37.0,2022-03-21,174969.0,154575330.0,870.0,896.0,860.0,890.0,+8.00,566.0,False,0.5145631067961165,0.40972191032907856,0.324754447557026
14.0,2022-03-21,174969.0,154575330.0,870.0,896.0,860.0,890.0,+8.00,566.0,False,0.5145631067961165,0.4214452933943031,0.3590649049405832
