0,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,filter,rsv,k,d
0.0,2022-03-01,1002035.0,141990088.0,139.5,145.0,136.5,145.0,+8.50,868.0,False,,,
23.0,2022-03-01,1002035.0,141990088.0,139.5,145.0,136.5,145.0,+8.50,868.0,False,0.4594594594594595,0.35762094974257475,0.3527556736885312
1.0,2022-03-02,1061488.0,153273640.0,142.0,148.5,141.0,145.0, 0.00,1143.0,False,,,
24.0,2022-03-02,1061488.0,153273640.0,142.0,148.5,141.0,145.0, 0.00,1143.0,False,0.4594594594594595,0.39156711964820295,0.3656928223417551
2.0,2022-03-03,1253572.0,187403855.0,146.0,154.5,145.0,152.0,+7.00,1103.0,False,,,
25.0,2022-03-03,1253572.0,187403855.0,146.0,154.5,145.0,152.0,+7.00,1103.0,False,0.8611111111111112,0.5480817834691722,0.4264891427175608
3.0,2022-03-04,1375295.0,207717995.0,151.0,156.0,148.5,148.5,-3.50,1848.0,False,,,
26.0,2022-03-04,1375295.0,207717995.0,151.0,156.0,148.5,148.5,-3.50,1848.0,False,0.6153846153846154,0.5705160607743199,0.4744981154031471
4.0,2022-03-07,828225.0,116418082.0,145.0,147.5,136.5,138.5,-10.00,1009.0,False,,,
27.0,2022-03-07,828225.0,116418082.0,145.0,147.5,136.5,138.5,-10.00,1009.0,False,0.10256410256410256,0.41453207470424747,0.4545094351701806
5.0,2022-03-08,952291.0,129145020.0,135.0,139.5,132.5,133.5,-5.00,828.0,False,,,
28.0,2022-03-08,952291.0,129145020.0,135.0,139.5,132.5,133.5,-5.00,828.0,False,0.0425531914893617,0.2905391136326189,0.3998526613243266
6.0,2022-03-09,1454164.0,205101737.0,136.5,145.0,136.5,140.5,+7.00,1407.0,False,,,
29.0,2022-03-09,1454164.0,205101737.0,136.5,145.0,136.5,140.5,+7.00,1407.0,False,0.3404255319148936,0.3071679197267104,0.36895774745845455
30.0,2022-03-10,2803261.0,422575547.0,146.0,154.5,143.0,154.5,+14.00,2297.0,False,0.9361702127659576,0.5168353507397927,0.4182502818855672
7.0,2022-03-10,2803261.0,422575547.0,146.0,154.5,143.0,154.5,+14.00,2297.0,False,,,
8.0,2022-03-11,4113805.0,634853074.0,155.0,157.0,150.0,156.0,+1.50,3293.0,False,0.9591836734693876,0.6530612244897959,0.5510204081632653
31.0,2022-03-11,4113805.0,634853074.0,155.0,157.0,150.0,156.0,+1.50,3293.0,False,0.9591836734693876,0.6642847916496577,0.500261785140264
32.0,2022-03-14,2480349.0,387499903.0,158.5,161.5,152.0,153.5,-2.50,2247.0,False,0.7241379310344828,0.6842358381112661,0.5615864694639313
9.0,2022-03-14,2480349.0,387499903.0,158.5,161.5,152.0,153.5,-2.50,2247.0,False,0.7241379310344828,0.6767534600046914,0.5929314254437406
33.0,2022-03-15,1094567.0,159777821.0,152.0,152.0,142.0,143.0,-10.50,1092.0,False,0.3620689655172414,0.5768468805799245,0.5666732731692623
10.0,2022-03-15,1094567.0,159777821.0,152.0,152.0,142.0,143.0,-10.50,1092.0,False,0.3620689655172414,0.5718586285088747,0.5859071597987853
34.0,2022-03-16,1095875.0,160311472.0,147.0,149.0,143.5,146.5,+3.50,1051.0,False,0.4827586206896552,0.5454841272831681,0.5596102245405642
11.0,2022-03-16,1095875.0,160311472.0,147.0,149.0,143.5,146.5,+3.50,1051.0,False,0.4827586206896552,0.5421586259024682,0.5713243151666796
35.0,2022-03-17,1523104.0,231043278.0,151.0,155.0,146.5,153.0,+6.50,1323.0,False,0.7068965517241379,0.5992882687634913,0.5728362392815398
12.0,2022-03-17,1523104.0,231043278.0,151.0,155.0,146.5,153.0,+6.50,1323.0,False,0.7068965517241379,0.5970712678430248,0.5799066327254613
36.0,2022-03-18,1097710.0,168659851.0,154.0,157.0,150.5,152.0,-1.00,920.0,False,0.6724137931034483,0.6236634435434769,0.5897786407021854
13.0,2022-03-18,1097710.0,168659851.0,154.0,157.0,150.5,152.0,-1.00,920.0,False,0.6724137931034483,0.6221854429298326,0.5939995694602517
37.0,2022-03-21,707797.0,107397746.0,153.5,155.0,149.0,150.0,-2.00,576.0,False,0.54,0.5957756290289846,0.5917776368111185
14.0,2022-03-21,707797.0,107397746.0,153.5,155.0,149.0,150.0,-2.00,576.0,False,0.54,0.594790295286555,0.5942631447356861
38.0,2022-03-22,422636.0,63085515.0,151.0,151.5,148.0,149.0,-1.00,532.0,False,0.35897435897435903,0.5168418723441094,0.5667990486554488
15.0,2022-03-22,422636.0,63085515.0,151.0,151.5,148.0,149.0,-1.00,532.0,False,0.35897435897435903,0.5161849831824896,0.5682370908846206
16.0,2022-03-23,864479.0,131463497.0,152.0,155.0,149.0,151.0,+2.00,755.0,False,0.4615384615384616,0.4979694759678136,0.5448145525790182
39.0,2022-03-23,864479.0,131463497.0,152.0,155.0,149.0,151.0,+2.00,755.0,False,0.4615384615384616,0.4984074020755601,0.5440018331288192
17.0,2022-03-24,569221.0,84353351.0,151.0,151.0,146.0,150.5,-0.50,519.0,False,0.4358974358974359,0.4772787959443544,0.5223026337007969
40.0,2022-03-24,569221.0,84353351.0,151.0,151.0,146.0,150.5,-0.50,519.0,False,0.4358974358974359,0.47757074668285204,0.5218581376468301
18.0,2022-03-25,677047.0,98891777.0,151.5,151.5,144.0,144.0,-6.50,558.0,False,0.13333333333333333,0.3626303084073473,0.469078525269647
41.0,2022-03-25,677047.0,98891777.0,151.5,151.5,144.0,144.0,-6.50,558.0,False,0.13333333333333333,0.3628249422330124,0.4688470725088908
19.0,2022-03-28,407960.0,58275965.0,144.0,145.0,140.5,145.0,+1.00,442.0,False,0.2727272727272727,0.3326626298473224,0.4236065601288721
42.0,2022-03-28,407960.0,58275965.0,144.0,145.0,140.5,145.0,+1.00,442.0,False,0.2727272727272727,0.33279238573109915,0.4234955102496269
20.0,2022-03-29,539090.0,77873054.0,146.5,148.0,143.0,144.0,-1.00,397.0,False,0.21212121212121213,0.2924821572719523,0.3798984258432322
43.0,2022-03-29,539090.0,77873054.0,146.5,148.0,143.0,144.0,-1.00,397.0,False,0.21212121212121213,0.2925686611944701,0.3798532272312413
21.0,2022-03-30,517876.0,76432998.0,146.5,149.0,145.0,148.5,+4.50,456.0,False,0.4848484848484849,0.3566042664641298,0.372133706050198
44.0,2022-03-30,517876.0,76432998.0,146.5,149.0,145.0,148.5,+4.50,456.0,False,0.4848484848484849,0.35666193574580835,0.37212279673609694
22.0,2022-03-31,305584.0,44364451.0,148.0,148.0,143.0,143.5,-5.00,261.0,False,0.206896551724138,0.3067016948841325,0.35032303566150946
45.0,2022-03-31,305584.0,44364451.0,148.0,148.0,143.0,143.5,-5.00,261.0,False,0.206896551724138,0.30674014107191816,0.35032857818137064
46.0,2022-04-01,215486.0,30819035.0,143.0,144.5,140.5,144.0,+0.50,190.0,False,0.2413793103448276,0.2849531974962213,0.3285367846196542
47.0,2022-04-06,150685.0,21579306.0,144.0,145.0,141.5,143.0,-1.00,135.0,False,0.1724137931034483,0.2474400626986303,0.3015045439793129
48.0,2022-04-07,404043.0,56458495.0,144.0,144.0,137.0,137.0,-6.00,378.0,False,0.0,0.16496004179908685,0.25598970991923753
49.0,2022-04-08,255838.0,36082960.0,139.0,143.5,138.5,142.0,+5.00,251.0,False,0.3448275862068966,0.22491588993502346,0.2456317699244995
50.0,2022-04-11,1265660.0,187294110.0,145.5,153.5,143.5,143.5,+1.50,1055.0,False,0.3939393939393939,0.28125705793648026,0.25750686592849303
51.0,2022-04-12,3088377.0,475641363.0,146.0,157.5,144.5,157.5,+14.00,2140.0,False,1.0,0.5208380386243201,0.3452839234937687
52.0,2022-04-13,14284159.0,2400906815.0,160.0,173.0,156.0,172.0,+14.50,9620.0,False,0.9722222222222222,0.6712994331569542,0.4539557600481639
53.0,2022-04-14,9382191.0,1635386182.0,169.0,181.0,169.0,174.5,+2.50,7675.0,False,0.8522727272727273,0.7316238645288785,0.5465117948750687
54.0,2022-04-15,7683427.0,1367040739.0,174.5,187.5,170.0,180.5,+6.00,6361.0,False,0.8613861386138614,0.7748779558905394,0.6226338485468923
55.0,2022-04-18,4819887.0,872391045.0,183.0,189.0,167.0,167.0,-13.50,5128.0,False,0.5769230769230769,0.7088929962347186,0.6513868977761677
56.0,2022-04-19,3782340.0,674196110.0,168.0,183.0,168.0,174.5,+7.50,3153.0,False,0.7211538461538461,0.7129799462077611,0.6719179139200321
57.0,2022-04-20,3562212.0,639889825.0,181.0,185.5,171.0,173.0,-1.50,3476.0,False,0.6831683168316832,0.7030427364157351,0.6822928547519331
58.0,2022-04-21,1871955.0,327071695.0,177.0,181.0,169.0,170.5,-2.50,2121.0,False,0.5934065934065934,0.6664973554126878,0.6770276883055178
59.0,2022-04-22,2207781.0,358128540.0,171.0,172.5,157.0,158.0,-12.50,2141.0,False,0.30337078651685395,0.5454551657807432,0.6331701807972596
60.0,2022-04-25,1531681.0,235043883.0,155.0,156.5,150.5,152.5,-5.50,1249.0,False,0.05194805194805195,0.3809527945031794,0.5490977186992329
61.0,2022-04-26,1172225.0,179677011.0,155.0,157.0,150.0,153.0,+0.50,984.0,False,0.07692307692307693,0.2796095553098119,0.4592683309027592
62.0,2022-04-27,1046722.0,157466512.0,146.0,154.0,146.0,152.5,-0.50,825.0,False,0.1511627906976744,0.2367939671057661,0.3851102096370948
63.0,2022-04-28,1377599.0,205774192.0,152.0,153.0,146.5,148.5,-4.00,1344.0,False,0.05813953488372092,0.1772424896984177,0.31582096965753576
64.0,2022-04-29,1831514.0,285235902.0,154.5,160.5,152.0,153.5,+5.00,1567.0,False,0.18987341772151886,0.18145279903945144,0.27103157945150763
65.0,2022-05-03,735906.0,112941143.0,151.5,156.0,151.0,155.5,+2.00,617.0,False,0.2405063291139241,0.20113730906427565,0.2477334893224303
66.0,2022-05-04,4859703.0,810874692.0,158.0,171.0,157.0,171.0,+15.50,3795.0,False,0.7142857142857143,0.3721867774714218,0.28921791870542746
67.0,2022-05-05,9048191.0,1606103083.0,173.0,181.5,172.5,181.5,+10.50,6952.0,False,1.0,0.5814578516476145,0.3866312296861565
68.0,2022-05-06,5382462.0,972521943.0,175.5,185.5,175.0,185.5,+4.00,4353.0,False,1.0,0.7209719010984097,0.4980781201569076
69.0,2022-05-09,4473755.0,782420931.0,187.0,189.0,167.0,167.0,-18.50,3568.0,False,0.4883720930232558,0.643438631740025,0.5465316240179467
70.0,2022-05-10,10194224.0,1780756515.0,165.0,183.0,164.0,177.0,+10.00,8608.0,False,0.7209302325581395,0.6692691653460632,0.5874441377939855
71.0,2022-05-11,5729650.0,979157327.0,175.5,180.0,166.0,169.5,-7.50,7058.0,False,0.5411764705882353,0.6265716004267872,0.6004866253382527
72.0,2022-05-12,4063538.0,690484319.0,171.5,174.0,167.0,168.0,-1.50,2978.0,False,0.4473684210526316,0.5668372073020687,0.5892701526595246
73.0,2022-05-13,5544352.0,906699599.0,169.5,171.0,158.5,162.5,-5.50,4904.0,False,0.3026315789473684,0.4787686645171685,0.5524363232787393
74.0,2022-05-16,5405777.0,921355697.0,166.5,175.5,165.5,169.5,+7.00,4196.0,False,0.390625,0.4493874430114457,0.5180866965229747
75.0,2022-05-17,3666799.0,626190276.0,174.0,175.0,168.0,169.0,-0.50,3897.0,False,0.3442622950819672,0.4143457270349529,0.4835063733603007
76.0,2022-05-18,8321198.0,1500447408.0,172.0,185.5,168.5,185.5,+16.50,6387.0,False,0.8852459016393442,0.5713124519030833,0.5127750662078949
77.0,2022-05-19,8553726.0,1525973292.0,180.5,181.5,175.0,181.5,-4.00,7194.0,False,0.7540983606557377,0.6322410881539681,0.5525970735232526
78.0,2022-05-20,14271466.0,2666712245.0,182.0,192.5,179.0,181.5, 0.00,11223.0,False,0.6764705882352942,0.6469842548477434,0.5840594672980828
79.0,2022-05-23,14451474.0,2741767577.0,185.0,199.5,182.0,184.5,+3.00,10808.0,False,0.6341463414634146,0.6427049503863005,0.603607961660822
80.0,2022-05-24,9322584.0,1702886594.0,187.0,190.0,174.5,174.5,-10.00,7225.0,False,0.3902439024390244,0.5585512677372084,0.5885890636862839
