0,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,filter,rsv,k,d
0.0,2022-03-01,2410021.0,274057771.0,115.5,117.0,112.5,115.0,-2.50,2209.0,False,,,
23.0,2022-03-01,2410021.0,274057771.0,115.5,117.0,112.5,115.0,-2.50,2209.0,False,0.2083333333333333,0.6574554587136205,0.805553536643582
1.0,2022-03-02,1287565.0,146891573.0,114.0,115.5,113.0,115.0, 0.00,705.0,False,,,
24.0,2022-03-02,1287565.0,146891573.0,114.0,115.5,113.0,115.0, 0.00,705.0,False,0.2083333333333333,0.5077480835868581,0.7062850522913406
2.0,2022-03-03,1389540.0,157879051.0,117.0,117.0,112.5,113.5,-1.50,870.0,False,,,
25.0,2022-03-03,1389540.0,157879051.0,117.0,117.0,112.5,113.5,-1.50,870.0,False,0.08333333333333333,0.3662765001690165,0.5929488682505659
3.0,2022-03-04,818197.0,92251879.0,112.5,114.0,111.5,113.0,-0.50,440.0,False,,,
26.0,2022-03-04,818197.0,92251879.0,112.5,114.0,111.5,113.0,-0.50,440.0,False,0.1153846153846154,0.2826458719075494,0.4895145361362271
4.0,2022-03-07,2017697.0,216794653.0,111.0,111.5,105.5,108.5,-4.50,1009.0,False,,,
27.0,2022-03-07,2017697.0,216794653.0,111.0,111.5,105.5,108.5,-4.50,1009.0,False,0.15789473684210525,0.241062160219068,0.4066970774971741
5.0,2022-03-08,1642091.0,172621325.0,106.0,109.5,103.0,105.0,-3.50,995.0,False,,,
28.0,2022-03-08,1642091.0,172621325.0,106.0,109.5,103.0,105.0,-3.50,995.0,False,0.09302325581395347,0.1917158587506965,0.3350366712483482
6.0,2022-03-09,1272442.0,135514602.0,109.5,109.5,105.5,106.5,+1.50,666.0,False,,,
29.0,2022-03-09,1272442.0,135514602.0,109.5,109.5,105.5,106.5,+1.50,666.0,False,0.16279069767441862,0.1820741383919372,0.2840491602962112
30.0,2022-03-10,776340.0,83487283.0,109.0,109.0,106.0,107.5,+1.00,498.0,False,0.20930232558139536,0.19115020078842326,0.25308284046028184
7.0,2022-03-10,776340.0,83487283.0,109.0,109.0,106.0,107.5,+1.00,498.0,False,,,
8.0,2022-03-11,385832.0,41234595.0,108.0,108.0,106.5,107.5, 0.00,215.0,False,0.32142857142857145,0.4404761904761905,0.4801587301587301
31.0,2022-03-11,385832.0,41234595.0,108.0,108.0,106.5,107.5, 0.00,215.0,False,0.32142857142857145,0.2345763243351393,0.2469140017519009
32.0,2022-03-14,842271.0,91046946.0,107.5,109.5,107.0,109.0,+1.50,395.0,False,0.42857142857142855,0.29924135908056904,0.2643564541947903
9.0,2022-03-14,842271.0,91046946.0,107.5,109.5,107.0,109.0,+1.50,395.0,False,0.42857142857142855,0.4365079365079365,0.4656084656084655
33.0,2022-03-15,1201578.0,127281135.0,107.0,107.5,105.0,107.0,X0.00,846.0,False,0.2857142857142857,0.2947323346251413,0.274481747671574
10.0,2022-03-15,1201578.0,127281135.0,107.0,107.5,105.0,107.0,X0.00,846.0,False,0.2857142857142857,0.38624338624338617,0.4391534391534391
34.0,2022-03-16,494923.0,53663797.0,107.5,109.5,107.0,109.0,+2.00,350.0,False,0.5454545454545454,0.3783064049016093,0.3090899667482524
11.0,2022-03-16,494923.0,53663797.0,107.5,109.5,107.0,109.0,+2.00,350.0,False,0.5454545454545454,0.4393137726471059,0.4392068836513279
35.0,2022-03-17,985170.0,109467038.0,111.5,112.5,110.0,111.5,+2.50,572.0,False,0.8947368421052632,0.5504498839694938,0.38954327248866616
12.0,2022-03-17,985170.0,109467038.0,111.5,112.5,110.0,111.5,+2.50,572.0,False,0.8947368421052632,0.5911214624664916,0.4898450765897158
36.0,2022-03-18,1324252.0,150439299.0,112.0,115.0,112.0,115.0,+3.50,609.0,False,1.0,0.7002999226463291,0.4931288225412205
13.0,2022-03-18,1324252.0,150439299.0,112.0,115.0,112.0,115.0,+3.50,609.0,False,1.0,0.7274143083109943,0.5690348204968086
37.0,2022-03-21,488213.0,56241972.0,115.5,116.0,114.0,115.5,+0.50,378.0,False,0.9545454545454546,0.7850484332793709,0.5904353594539373
14.0,2022-03-21,488213.0,56241972.0,115.5,116.0,114.0,115.5,+0.50,378.0,False,0.9545454545454546,0.8031246903891477,0.6470647771275884
38.0,2022-03-22,557185.0,64598311.0,115.5,117.0,115.0,116.0,+0.50,415.0,False,0.9166666666666666,0.8289211777418029,0.6699306322165591
15.0,2022-03-22,557185.0,64598311.0,115.5,117.0,115.0,116.0,+0.50,415.0,False,0.9166666666666666,0.8409720158149874,0.7117005233567213
16.0,2022-03-23,761683.0,88977939.0,117.0,117.5,116.0,117.0,+1.00,659.0,False,0.96,0.8806480105433249,0.7680163524189225
39.0,2022-03-23,761683.0,88977939.0,117.0,117.5,116.0,117.0,+1.00,659.0,False,0.96,0.8726141184945352,0.7374917943092179
17.0,2022-03-24,391177.0,45580870.0,116.5,117.0,115.5,117.0, 0.00,261.0,False,0.96,0.90709867369555,0.8143771261777982
40.0,2022-03-24,391177.0,45580870.0,116.5,117.0,115.5,117.0, 0.00,261.0,False,0.96,0.9017427456630234,0.792242111427153
18.0,2022-03-25,599660.0,69834398.0,117.0,117.5,115.0,117.0, 0.00,320.0,False,0.96,0.9247324491303665,0.8511622338286543
41.0,2022-03-25,599660.0,69834398.0,117.0,117.5,115.0,117.0, 0.00,320.0,False,0.96,0.9211618304420156,0.8352153510987738
19.0,2022-03-28,661487.0,76419666.0,116.5,117.0,114.0,117.0, 0.00,408.0,False,0.9523809523809524,0.9339486168805616,0.8787576948459568
42.0,2022-03-28,661487.0,76419666.0,116.5,117.0,114.0,117.0, 0.00,408.0,False,0.9523809523809524,0.9315682044216612,0.8673329688730695
20.0,2022-03-29,1065790.0,126230954.0,117.0,120.0,116.5,118.0,+1.00,536.0,False,0.8,0.8892990779203744,0.8822714892040959
43.0,2022-03-29,1065790.0,126230954.0,117.0,120.0,116.5,118.0,+1.00,536.0,False,0.8,0.8877121362811073,0.8741260246757487
21.0,2022-03-30,1426697.0,170672447.0,118.0,121.0,118.0,119.5,+1.50,741.0,False,0.8333333333333334,0.870643829724694,0.878395602710962
44.0,2022-03-30,1426697.0,170672447.0,118.0,121.0,118.0,119.5,+1.50,741.0,False,0.8333333333333334,0.8695858686318493,0.8726126393277822
22.0,2022-03-31,3391773.0,416477954.0,120.5,124.5,119.0,123.5,+4.00,1820.0,False,0.9047619047619048,0.8820165214037643,0.8796025756085627
45.0,2022-03-31,3391773.0,416477954.0,120.5,124.5,119.0,123.5,+4.00,1820.0,False,0.9047619047619048,0.8813112140085344,0.8755121642213662
46.0,2022-04-01,2821669.0,354785458.0,122.5,127.5,122.0,126.0,+2.50,2325.0,False,0.8888888888888888,0.8838371056353191,0.8782871446926839
47.0,2022-04-06,1445882.0,183114902.0,127.5,127.5,124.5,127.5,+1.50,1011.0,False,1.0,0.922558070423546,0.8930441199363046
48.0,2022-04-07,1786692.0,225422662.0,127.5,128.0,125.0,126.0,-1.50,1520.0,False,0.8571428571428571,0.9007529993299832,0.8956137464008641
49.0,2022-04-08,1932100.0,248296463.0,127.0,129.5,125.0,129.5,+3.50,1353.0,False,1.0,0.9338353328866552,0.9083542752294612
50.0,2022-04-11,2127876.0,273530705.0,130.0,131.5,126.0,129.5, 0.00,1763.0,False,0.8857142857142857,0.9177949838291988,0.9115011780960404
51.0,2022-04-12,3019745.0,399339253.0,130.0,134.0,128.5,133.5,+4.00,1902.0,False,0.9714285714285714,0.9356728463623228,0.9195584008514678
52.0,2022-04-13,2765985.0,369699940.0,135.0,137.0,131.5,132.5,-1.00,1852.0,False,0.7631578947368421,0.8781678624871626,0.9057615547300328
53.0,2022-04-14,1029561.0,135824405.0,133.5,133.5,130.5,132.5, 0.00,1049.0,False,0.75,0.8354452416581084,0.8823227837060579
54.0,2022-04-15,1088127.0,143032237.0,131.0,134.5,130.0,131.5,-1.00,868.0,False,0.6333333333333333,0.76807460554985,0.8442400576539886
55.0,2022-04-18,680257.0,90087148.0,130.5,133.5,130.0,133.0,+1.50,456.0,False,0.68,0.7387164036999001,0.8090655063359591
56.0,2022-04-19,377956.0,50320270.0,134.0,134.0,132.0,133.0, 0.00,367.0,False,0.6666666666666666,0.7146998246888222,0.7776102791202466
57.0,2022-04-20,1725601.0,233618328.0,133.0,137.0,132.5,136.5,+3.50,1102.0,False,0.9583333333333334,0.7959109942369925,0.7837105174924952
58.0,2022-04-21,5720128.0,804567235.0,141.0,145.0,138.0,142.0,+5.50,3381.0,False,0.8421052631578947,0.8113090838772932,0.7929100396207611
59.0,2022-04-22,4462056.0,650542939.0,140.5,148.5,140.5,148.0,+6.00,2640.0,False,0.975,0.8658727225848621,0.817230933942128
60.0,2022-04-25,3023167.0,446056811.0,147.0,149.5,145.0,149.0,+1.00,2388.0,False,0.9743589743589745,0.9020348065095659,0.8454988914646073
61.0,2022-04-26,3107456.0,467435513.0,149.0,152.0,147.5,151.5,+2.50,2545.0,False,0.9772727272727272,0.9271141134306198,0.8727039654532781
62.0,2022-04-27,2668717.0,396683358.0,149.5,151.0,145.5,150.5,-1.00,1974.0,False,0.9318181818181818,0.9286821362264736,0.8913633557110099
63.0,2022-04-28,1906208.0,288743868.0,148.5,153.5,148.5,152.0,+1.50,1365.0,False,0.9361702127659576,0.9311781617396347,0.9046349577205516
64.0,2022-04-29,1742932.0,267212371.0,153.0,155.0,150.5,154.5,+2.50,1212.0,False,0.9782608695652174,0.9468723976814956,0.9187141043741996
65.0,2022-05-03,2397008.0,358993001.0,153.0,155.0,147.0,149.0,-5.50,2002.0,False,0.7333333333333333,0.8756927095654414,0.9043736394379468
66.0,2022-05-04,1567992.0,237310215.0,150.5,153.0,148.5,152.5,+3.50,969.0,False,0.8529411764705882,0.8681088652004904,0.8922853813587946
