0,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,filter,rsv,k,d
0.0,2022-03-01,75679.0,945159.0,12.5,12.55,12.4,12.45,+0.10,96.0,False,,,
23.0,2022-03-01,75679.0,945159.0,12.5,12.55,12.4,12.45,+0.10,96.0,False,0.3749999999999978,0.4074213587317417,0.4820013901379104
1.0,2022-03-02,233493.0,2952049.0,12.5,12.75,12.5,12.6,+0.15,130.0,False,,,
24.0,2022-03-02,233493.0,2952049.0,12.5,12.75,12.5,12.6,+0.15,130.0,False,0.6666666666666653,0.4938364613767162,0.4859464138841789
2.0,2022-03-03,99076.0,1261055.0,12.7,12.8,12.6,12.75,+0.15,63.0,False,,,
25.0,2022-03-03,99076.0,1261055.0,12.7,12.8,12.6,12.75,+0.15,63.0,False,0.8999999999999986,0.6292243075844771,0.5337057117842783
3.0,2022-03-04,86026.0,1081968.0,12.7,12.7,12.5,12.6,-0.15,70.0,False,,,
26.0,2022-03-04,86026.0,1081968.0,12.7,12.7,12.5,12.6,-0.15,70.0,False,0.5999999999999979,0.6194828717229839,0.5622980984305135
4.0,2022-03-07,284242.0,3469912.0,12.5,12.5,12.1,12.15,-0.45,163.0,False,,,
27.0,2022-03-07,284242.0,3469912.0,12.5,12.5,12.1,12.15,-0.45,163.0,False,0.07142857142857234,0.43679810495817994,0.5204647672730689
5.0,2022-03-08,435743.0,5189435.0,12.05,12.25,11.7,11.75,-0.40,235.0,False,,,
28.0,2022-03-08,435743.0,5189435.0,12.05,12.25,11.7,11.75,-0.40,235.0,False,0.04545454545454604,0.306350251790302,0.4490932621121467
6.0,2022-03-09,440854.0,5229347.0,11.75,11.95,11.75,11.9,+0.15,139.0,False,,,
29.0,2022-03-09,440854.0,5229347.0,11.75,11.95,11.75,11.9,+0.15,139.0,False,0.18181818181818246,0.2648395617995955,0.3876753620079629
30.0,2022-03-10,207009.0,2524698.0,12.0,12.35,11.9,12.35,+0.45,125.0,False,0.5909090909090905,0.3735294048360938,0.3829600429506732
7.0,2022-03-10,207009.0,2524698.0,12.0,12.35,11.9,12.35,+0.45,125.0,False,,,
8.0,2022-03-11,132433.0,1608639.0,12.25,12.25,12.0,12.05,-0.30,79.0,False,0.31818181818181906,0.4393939393939397,0.4797979797979799
31.0,2022-03-11,132433.0,1608639.0,12.25,12.25,12.0,12.05,-0.30,79.0,False,0.31818181818181906,0.3550802092846689,0.3736667650620051
32.0,2022-03-14,80123.0,969117.0,12.05,12.1,12.05,12.05, 0.00,56.0,False,0.31818181818181906,0.34278074558371896,0.3633714252359097
9.0,2022-03-14,80123.0,969117.0,12.05,12.1,12.05,12.05, 0.00,56.0,False,0.31818181818181906,0.39898989898989945,0.4528619528619531
33.0,2022-03-15,129266.0,1556253.0,12.05,12.15,12.0,12.05, 0.00,64.0,False,0.31818181818181906,0.33458110311641903,0.3537746511960794
10.0,2022-03-15,129266.0,1556253.0,12.05,12.15,12.0,12.05, 0.00,64.0,False,0.31818181818181906,0.37205387205387264,0.4259259259259263
34.0,2022-03-16,111566.0,1346772.0,12.1,12.15,12.0,12.05, 0.00,64.0,False,0.3500000000000014,0.33972073541094644,0.3490900126010351
11.0,2022-03-16,111566.0,1346772.0,12.1,12.15,12.0,12.05, 0.00,64.0,False,0.3500000000000014,0.3647025813692489,0.40551814440703376
35.0,2022-03-17,126252.0,1548896.0,12.15,12.35,12.15,12.3,+0.25,81.0,False,0.7500000000000011,0.4764804902739646,0.3915535051586783
