0,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,filter,rsv,k,d
0.0,2022-03-01,1037648.0,24291454.0,23.5,23.7,23.15,23.5,-0.10,719.0,False,,,
23.0,2022-03-01,1037648.0,24291454.0,23.5,23.7,23.15,23.5,-0.10,719.0,False,0.22368421052631607,0.5826839669307933,0.6750088135707026
1.0,2022-03-02,935750.0,21883340.0,23.55,23.7,23.2,23.35,-0.15,756.0,False,,,
24.0,2022-03-02,935750.0,21883340.0,23.55,23.7,23.2,23.35,-0.15,756.0,False,0.1621621621621626,0.4425100320079164,0.5975092197164406
2.0,2022-03-03,824403.0,19256765.0,23.35,23.45,23.25,23.35, 0.00,535.0,False,,,
25.0,2022-03-03,824403.0,19256765.0,23.35,23.45,23.25,23.35, 0.00,535.0,False,0.1621621621621626,0.3490607420593318,0.5146930604974043
3.0,2022-03-04,716521.0,16622544.0,23.45,23.5,23.1,23.15,-0.20,500.0,False,,,
26.0,2022-03-04,716521.0,16622544.0,23.45,23.5,23.1,23.15,-0.20,500.0,False,0.014925373134327518,0.23768228575099706,0.4223561355819351
4.0,2022-03-07,1282311.0,28804228.0,23.1,23.1,22.25,22.35,-0.80,866.0,False,,,
27.0,2022-03-07,1282311.0,28804228.0,23.1,23.1,22.25,22.35,-0.80,866.0,False,0.02380952380952415,0.1663913651038394,0.3370345454225699
5.0,2022-03-08,1453192.0,31845653.0,22.2,22.3,21.6,21.7,-0.65,952.0,False,,,
28.0,2022-03-08,1453192.0,31845653.0,22.2,22.3,21.6,21.7,-0.65,952.0,False,0.020618556701030497,0.11780042896956976,0.2639565066049032
6.0,2022-03-09,901137.0,19885710.0,21.85,22.3,21.85,22.05,+0.35,566.0,False,,,
29.0,2022-03-09,901137.0,19885710.0,21.85,22.3,21.85,22.05,+0.35,566.0,False,0.09278350515463908,0.10946145436459286,0.21245815585813305
30.0,2022-03-10,835635.0,18796562.0,22.3,22.7,22.2,22.7,+0.65,576.0,False,0.2268041237113399,0.1485756774801752,0.19116399639881373
7.0,2022-03-10,835635.0,18796562.0,22.3,22.7,22.2,22.7,+0.65,576.0,False,,,
8.0,2022-03-11,746619.0,16516990.0,22.7,22.7,21.95,22.1,-0.60,547.0,False,0.2380952380952384,0.4126984126984128,0.4708994708994709
31.0,2022-03-11,746619.0,16516990.0,22.7,22.7,21.95,22.1,-0.60,547.0,False,0.2380952380952384,0.17841553101852958,0.1869145079387189
32.0,2022-03-14,2416032.0,54787010.0,22.2,23.2,22.05,22.55,+0.45,1372.0,False,0.4523809523809525,0.2697373381393372,0.21452211800559173
9.0,2022-03-14,2416032.0,54787010.0,22.2,23.2,22.05,22.55,+0.45,1372.0,False,0.4523809523809525,0.4259259259259261,0.4559082892416226
