0,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,filter,rsv,k,d
0.0,2022-03-01,1762771.0,514314123.0,286.0,297.0,286.0,295.5,+6.00,1503.0,False,,,
23.0,2022-03-01,1762771.0,514314123.0,286.0,297.0,286.0,295.5,+6.00,1503.0,False,0.96875,0.5012242108215174,0.342387413907462
1.0,2022-03-02,1175492.0,342995891.0,291.5,294.0,290.5,293.0,-2.50,927.0,False,,,
24.0,2022-03-02,1175492.0,342995891.0,291.5,294.0,290.5,293.0,-2.50,927.0,False,0.9166666666666666,0.6397050294365672,0.441493285750497
2.0,2022-03-03,533902.0,157674260.0,293.5,298.0,293.5,295.0,+2.00,553.0,False,,,
25.0,2022-03-03,533902.0,157674260.0,293.5,298.0,293.5,295.0,+2.00,553.0,False,0.9387755102040816,0.7393951896924054,0.5407939203977997
3.0,2022-03-04,397203.0,115546226.0,291.0,293.0,288.5,291.0,-4.00,424.0,False,,,
26.0,2022-03-04,397203.0,115546226.0,291.0,293.0,288.5,291.0,-4.00,424.0,False,0.8571428571428571,0.7786444121758893,0.6200774176571628
4.0,2022-03-07,1017305.0,287218545.0,288.0,290.5,280.0,281.5,-9.50,1069.0,False,,,
27.0,2022-03-07,1017305.0,287218545.0,288.0,290.5,280.0,281.5,-9.50,1069.0,False,0.6632653061224489,0.7401847101580759,0.6601131818241338
5.0,2022-03-08,823266.0,230362901.0,281.5,283.5,277.5,278.0,-3.50,884.0,False,,,
28.0,2022-03-08,823266.0,230362901.0,281.5,283.5,277.5,278.0,-3.50,884.0,False,0.5918367346938775,0.6907353850033431,0.6703205828838702
6.0,2022-03-09,662848.0,185594132.0,278.0,284.5,278.0,280.5,+2.50,665.0,False,,,
29.0,2022-03-09,662848.0,185594132.0,278.0,284.5,278.0,280.5,+2.50,665.0,False,0.631578947368421,0.671016572458369,0.670552579408703
30.0,2022-03-10,538000.0,155085194.0,283.0,290.0,282.5,290.0,+9.50,952.0,False,0.8,0.7140110483055793,0.6850387357076617
7.0,2022-03-10,538000.0,155085194.0,283.0,290.0,282.5,290.0,+9.50,952.0,False,,,
