證券代號,證券名稱,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
0050,元大台灣50,8764346.0,996031881.0,114.2,114.2,113.25,113.9,-1.1,10800.0
0051,元大中型100,17649.0,925477.0,52.55,52.55,52.15,52.3,-0.25,187.0
0052,富邦科技,235652.0,22849613.0,97.5,97.5,96.7,97.15,-1.15,356.0
0053,元大電子,4980.0,269972.0,54.25,54.45,54.15,54.45,-0.6,981.0
0055,元大MSCI金融,474658.0,10277041.0,21.84,21.84,21.56,21.76,-0.12,549.0
0056,元大高股息,14714212.0,373141505.0,25.45,25.5,25.26,25.5,-0.01,11913.0
0057,富邦摩台,1888.0,152288.0,81.2,81.2,81.2,81.2,-0.7,879.0
0061,元大寶滬深,236110.0,4424412.0,18.82,18.88,18.67,18.68,-0.14,1039.0
006203,元大MSCI台灣,5380.0,295624.0,55.3,55.3,54.9,55.2,-0.5,805.0
006204,永豐臺灣加權,33558.0,2451354.0,72.85,73.2,72.85,73.2,-0.45,897.0
006205,富邦上証,310972.0,9853122.0,31.75,31.88,31.55,31.58,-0.17,119.0
006206,元大上證50,50689.0,1532706.0,30.33,30.5,30.14,30.16,-0.17,36.0
006207,FH滬深,35888.0,889264.0,24.8,24.83,24.74,24.74,-0.04,15.0
006208,富邦台50,2169603.0,139620772.0,64.8,64.8,64.1,64.5,-0.45,4907.0
00625K,富邦上証+R,,,,,,,0.0,
00631L,元大台灣50正2,4656905.0,456464257.0,98.6,98.75,97.35,98.4,-1.6,2224.0
00632R,元大台灣50反1,120359436.0,696429462.0,5.77,5.81,5.76,5.78,0.05,5574.0
00633L,富邦上証正2,6592555.0,264277696.0,40.13,40.51,39.73,39.86,-0.2,1281.0
00634R,富邦上証反1,193100.0,861186.0,4.46,4.47,4.45,4.47,0.01,40.0
00635U,期元大S&P黃金,244769.0,5667158.0,23.22,23.22,23.1,23.1,-0.18,140.0
00636,國泰中國A50,515552.0,11069479.0,21.53,21.58,21.35,21.36,-0.17,665.0
00636K,國泰中國A50+U,200.0,1394.0,6.97,6.97,6.97,6.97,-0.06,2.0
00637L,元大滬深300正2,57400915.0,907201424.0,15.82,15.95,15.64,15.69,-0.1,7039.0
00638R,元大滬深300反1,482100.0,4540170.0,9.41,9.46,9.38,9.45,0.04,57.0
00639,富邦深100,181410.0,2319198.0,12.8,12.89,12.77,12.78,0.0,1100.0
00640L,富邦日本正2,57010.0,1636077.0,28.68,28.77,28.67,28.73,-0.12,27.0
00641R,富邦日本反1,95000.0,913210.0,9.63,9.63,9.6,9.6,0.0,25.0
00642U,期元大S&P石油,5851243.0,89941204.0,15.45,15.45,15.3,15.36,-0.09,1347.0
00643,群益深証中小,171607.0,2600727.0,15.18,15.19,15.12,15.14,-0.03,976.0
00643K,群益深証中小+R,,,,,,,0.0,
00645,富邦日本,44171.0,1153998.0,26.16,26.16,26.11,26.12,-0.1,782.0
00646,元大S&P500,182777.0,6831455.0,37.51,37.51,37.31,37.38,-0.3,385.0
00647L,元大S&P500正2,188499.0,9847898.0,52.25,52.45,52.15,52.4,-1.1,93.0
00648R,元大S&P500反1,7240200.0,53770444.0,7.42,7.44,7.41,7.44,0.1,278.0
00650L,FH香港正2,10202442.0,138574303.0,13.72,13.79,13.41,13.55,-0.25,1260.0
00651R,FH香港反1,1504050.0,12948598.0,8.57,8.64,8.54,8.62,0.11,175.0
00652,富邦印度,97018.0,2998142.0,30.96,31.05,30.8,31.05,0.02,703.0
00653L,富邦印度正2,200000.0,9536770.0,47.72,48.1,47.24,48.03,-0.28,81.0
00654R,富邦印度反1,528000.0,4069430.0,7.69,7.73,7.66,7.66,0.02,80.0
00655L,國泰中國A50正2,1353312.0,38531569.0,28.49,28.78,28.22,28.35,-0.14,397.0
00656R,國泰中國A50反1,217110.0,1820863.0,8.38,8.42,8.36,8.42,0.03,27.0
00657,國泰日經225,2082.0,67269.0,32.82,32.82,32.82,32.82,-0.04,972.0
00657K,國泰日經225+U,200.0,2134.0,10.67,10.67,10.67,10.67,-0.05,2.0
00660,元大歐洲50,4010.0,113370.0,28.59,28.62,28.59,28.62,-0.15,981.0
00661,元大日經225,3234.0,114202.0,35.3,35.38,35.3,35.38,0.02,6.0
00662,富邦NASDAQ,143140.0,6540363.0,45.66,45.78,45.61,45.72,-0.39,300.0
00663L,國泰臺灣加權正2,398099.0,35738389.0,90.75,90.75,89.5,90.45,-1.55,26.0
00664R,國泰臺灣加權反1,7912337.0,51727592.0,6.51,6.56,6.51,6.54,0.06,345.0
00665L,富邦恒生國企正2,21125775.0,182984076.0,8.75,8.84,8.52,8.61,-0.24,2338.0
00666R,富邦恒生國企反1,267000.0,3979590.0,14.85,15.03,14.67,14.96,0.23,79.0
00668,國泰美國道瓊,14789.0,551647.0,37.32,37.36,37.28,37.36,-0.31,991.0
00668K,國泰美國道瓊+U,200.0,2432.0,12.16,12.16,12.16,12.16,-0.14,2.0
00669R,國泰美國道瓊反1,13580550.0,108164693.0,7.95,7.97,7.95,7.97,0.09,772.0
00670L,富邦NASDAQ正2,2298901.0,125351170.0,54.5,54.75,54.35,54.65,-1.25,940.0
00671R,富邦NASDAQ反1,6082500.0,38431873.0,6.31,6.33,6.3,6.32,0.08,352.0
00673R,期元大S&P原油反1,19357510.0,186862201.0,9.61,9.7,9.61,9.66,0.07,1697.0
00674R,期元大S&P黃金反1,693000.0,9104080.0,13.11,13.17,13.11,13.17,0.09,126.0
00675L,富邦臺灣加權正2,717986.0,28229055.0,39.54,39.54,39.04,39.46,-0.64,449.0
00676R,富邦臺灣加權反1,6260400.0,22513057.0,3.58,3.61,3.58,3.59,0.02,333.0
00678,群益NBI生技,30271.0,796612.0,26.34,26.34,26.31,26.34,-0.52,726.0
00680L,元大美債20正2,10795157.0,135918434.0,12.55,12.7,12.5,12.67,-0.58,1700.0
00681R,元大美債20反1,529001.0,9372187.0,17.79,17.79,17.67,17.71,0.39,125.0
00682U,期元大美元指數,315194.0,6596384.0,20.87,20.95,20.87,20.95,0.16,88.0
00683L,期元大美元指正2,1438425.0,32093583.0,22.26,22.35,22.26,22.33,0.29,369.0
00684R,期元大美元指反1,12000.0,190330.0,15.86,15.88,15.85,15.86,-0.12,6.0
00685L,群益臺灣加權正2,106606.0,3720651.0,35.2,35.2,34.65,35.02,-0.58,71.0
00686R,群益臺灣加權反1,40000.0,156100.0,3.91,3.91,3.89,3.89,0.03,7.0
00688L,國泰20年美債正2,2358000.0,29379000.0,12.42,12.57,12.39,12.53,-0.58,388.0
00689R,國泰20年美債反1,258000.0,4751440.0,18.47,18.47,18.37,18.39,0.41,22.0
00690,兆豐藍籌30,207960.0,5343606.0,25.85,25.85,25.56,25.73,-0.2,724.0
00692,富邦公司治理,1605432.0,44305910.0,27.77,27.77,27.5,27.69,-0.18,1569.0
00693U,期街口S&P黃豆,67170.0,1766668.0,26.47,26.47,26.22,26.22,-0.34,34.0
