證券代號	證券名稱	成交股數	成交金額	開盤價	最高價	最低價	收盤價	漲跌價差	成交筆數
50	元大台灣50	11820000	1332535850	112.5	113.3	112.25	113	-1.9	6848
51	元大中型100	44000	2310650	52.25	52.7	52.2	52.65	-0.3	25
52	富邦科技	235000	22593350	96.05	96.6	95.65	96.6	-1.55	179
53	元大電子	5000	269900	53.9	54.2	53.9	54.2	-0.75	5
55	元大MSCI金融	242000	5256480	21.69	21.88	21.64	21.7	-0.16	123
56	元大高股息	29478000	752571330	25.46	25.78	25.37	25.7	0	14082
57	富邦摩台	6000	483350	80.4	80.75	80.4	80.75	-1.3	6
61	元大寶滬深	240000	4475950	18.5	18.73	18.5	18.68	0.01	52
6203	元大MSCI台灣	3000	164400	54.75	55	54.65	55	-0.9	3
6204	永豐臺灣加權	29000	2108500	72.65	72.95	72.65	72.65	-1.1	7
6205	富邦上証	316000	9966420	31.4	31.73	31.33	31.55	0.1	210
6206	元大上證50	56000	1698890	30.16	30.58	30.16	30.35	0.19	50
6207	FH滬深	94000	2325480	24.69	24.76	24.63	24.69	0.08	11
6208	富邦台50	4848000	309725250	63.95	64.2	63.5	63.9	-1.15	3376
00625K	富邦上証+R							0	
00631L	元大台灣50正2	7595000	737144300	96.5	98	96.2	96.95	-3.45	2622
00632R	元大台灣50反1	225562000	1311739510	5.83	5.84	5.78	5.82	0.1	9568
00633L	富邦上証正2	6713000	269541530	39.82	40.58	39.72	40.12	0.16	1246
00634R	富邦上証反1	359000	1601720	4.52	4.52	4.45	4.47	0.01	52
00635U	期元大S&P黃金	456000	10485650	22.99	23.07	22.97	22.99	-0.18	139
636	國泰中國A50	423000	9072520	21.39	21.6	21.37	21.48	0.12	132
00636K	國泰中國A50+U	200	1394	6.97	6.97	6.97	6.97	-0.01	2
00637L	元大滬深300正2	84420000	1333133790	15.68	15.98	15.65	15.81	0.09	7491
00638R	元大滬深300反1	1555000	14666040	9.45	9.47	9.38	9.43	0.03	117
639	富邦深100	325000	4129890	12.68	12.78	12.62	12.72	0.04	161
00640L	富邦日本正2	201000	5766130	28.71	28.75	28.5	28.52	-0.61	62
00641R	富邦日本反1	180000	1732740	9.64	9.65	9.61	9.65	0.11	53
00642U	期元大S&P石油	2556000	41626460	16.29	16.36	16.19	16.2	-0.16	753
643	群益深証中小	237000	3533190	14.88	14.95	14.86	14.88	-0.05	59
00643K	群益深証中小+R							0	
645	富邦日本	124000	3240880	26.17	26.17	26.07	26.07	-0.25	51
646	元大S&P500	1156000	42977020	37.2	37.23	37.12	37.17	-0.76	793
00647L	元大S&P500正2	364000	18683650	51.35	51.5	51.15	51.2	-2.9	190
00648R	元大S&P500反1	5054000	37846470	7.47	7.51	7.47	7.51	0.22	459
00650L	FH香港正2	11996000	159043420	13.1	13.65	12.97	13.35	0.03	1883
00651R	FH香港反1	2508000	21838950	8.66	8.87	8.6	8.7	0.06	259
652	富邦印度	187000	5671260	30.5	30.5	30.26	30.26	-0.37	130
00653L	富邦印度正2	332000	15597980	47.2	47.27	46.66	46.66	-1.57	142
00654R	富邦印度反1	982000	7668100	7.86	7.86	7.77	7.84	0.16	171
00655L	國泰中國A50正2	1681000	47889960	28.3	28.83	28.21	28.5	0.09	421
00656R	國泰中國A50反1	1911000	16084200	8.46	8.46	8.37	8.4	0.01	81
657	國泰日經225	14000	454660	32.45	32.56	32.45	32.5	-0.63	4
00657K	國泰日經225+U	200	2114	10.57	10.57	10.57	10.57	-0.25	2
660	元大歐洲50	3000	84690	28.2	28.27	28.2	28.22	-0.79	3
661	元大日經225	4000	140080	35.07	35.07	34.95	34.99	0	4
662	富邦NASDAQ	1017000	45761870	44.99	45.1	44.9	44.94	-1.35	574
00663L	國泰臺灣加權正2	15000	1335400	88.65	89.7	88.5	89.2	-2.95	13
00664R	國泰臺灣加權反1	10971000	72192000	6.61	6.61	6.54	6.57	0.1	673
