日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
111/03/01,"28,760,041","553,827,217",19.12,19.31,19.10,19.29,+0.27,"12,807"
111/03/02,"21,708,976","417,731,077",19.27,19.31,19.20,19.29, 0.00,"9,255"
111/03/03,"16,166,518","312,889,006",19.36,19.39,19.32,19.34,+0.05,"7,259"
111/03/04,"38,554,000","740,412,148",19.22,19.27,19.12,19.19,-0.15,"19,812"
111/03/07,"122,585,168","2,307,842,375",19.00,19.02,18.76,18.80,-0.39,"66,906"
111/03/08,"108,346,456","2,010,040,228",18.56,18.69,18.46,18.49,-0.31,"61,814"
111/03/09,"34,858,822","649,321,092",18.60,18.70,18.56,18.63,+0.14,"17,416"
111/03/10,"28,406,606","538,015,202",18.88,18.99,18.85,18.96,+0.33,"11,709"
111/03/11,"22,939,675","433,624,723",18.96,18.97,18.87,18.88,-0.08,"11,618"
111/03/14,"18,939,643","358,742,241",18.92,19.01,18.88,19.00,+0.12,"8,851"
111/03/15,"32,417,569","611,048,253",18.99,18.99,18.79,18.85,-0.15,"17,253"
111/03/16,"21,317,623","403,195,663",18.99,19.00,18.84,18.99,+0.14,"9,384"
111/03/17,"29,179,466","560,272,128",19.19,19.28,19.09,19.23,+0.24,"8,248"
111/03/18,"17,641,995","339,005,458",19.24,19.26,19.18,19.23, 0.00,"6,871"
111/03/21,"18,051,154","348,142,472",19.26,19.34,19.23,19.26,+0.03,"7,572"
111/03/22,"16,192,654","311,844,619",19.28,19.29,19.23,19.29,+0.03,"5,408"
111/03/23,"20,685,552","400,931,049",19.34,19.42,19.34,19.39,+0.10,"8,786"
111/03/24,"12,943,161","250,356,840",19.36,19.39,19.28,19.38,-0.01,"6,024"
111/03/25,"17,590,698","339,640,002",19.36,19.38,19.27,19.32,-0.06,"9,566"
111/03/28,"31,918,050","612,199,580",19.23,19.31,19.11,19.31,-0.01,"16,929"
111/03/29,"14,942,565","288,133,071",19.32,19.33,19.25,19.26,-0.05,"8,282"
111/03/30,"15,070,873","291,823,991",19.34,19.40,19.33,19.37,+0.11,"5,783"
111/03/31,"18,080,369","350,658,326",19.38,19.42,19.35,19.35,-0.02,"7,056"
111/03/01,"28,760,041","553,827,217",19.12,19.31,19.10,19.29,+0.27,"12,807"
111/03/02,"21,708,976","417,731,077",19.27,19.31,19.20,19.29, 0.00,"9,255"
111/03/03,"16,166,518","312,889,006",19.36,19.39,19.32,19.34,+0.05,"7,259"
111/03/04,"38,554,000","740,412,148",19.22,19.27,19.12,19.19,-0.15,"19,812"
111/03/07,"122,585,168","2,307,842,375",19.00,19.02,18.76,18.80,-0.39,"66,906"
111/03/08,"108,346,456","2,010,040,228",18.56,18.69,18.46,18.49,-0.31,"61,814"
111/03/09,"34,858,822","649,321,092",18.60,18.70,18.56,18.63,+0.14,"17,416"
111/03/10,"28,406,606","538,015,202",18.88,18.99,18.85,18.96,+0.33,"11,709"
111/03/11,"22,939,675","433,624,723",18.96,18.97,18.87,18.88,-0.08,"11,618"
111/03/14,"18,939,643","358,742,241",18.92,19.01,18.88,19.00,+0.12,"8,851"
111/03/15,"32,417,569","611,048,253",18.99,18.99,18.79,18.85,-0.15,"17,253"
111/03/16,"21,317,623","403,195,663",18.99,19.00,18.84,18.99,+0.14,"9,384"
111/03/17,"29,179,466","560,272,128",19.19,19.28,19.09,19.23,+0.24,"8,248"
111/03/18,"17,641,995","339,005,458",19.24,19.26,19.18,19.23, 0.00,"6,871"
111/03/21,"18,051,154","348,142,472",19.26,19.34,19.23,19.26,+0.03,"7,572"
111/03/22,"16,192,654","311,844,619",19.28,19.29,19.23,19.29,+0.03,"5,408"
111/03/23,"20,685,552","400,931,049",19.34,19.42,19.34,19.39,+0.10,"8,786"
111/03/24,"12,943,161","250,356,840",19.36,19.39,19.28,19.38,-0.01,"6,024"
111/03/25,"17,590,698","339,640,002",19.36,19.38,19.27,19.32,-0.06,"9,566"
111/03/28,"31,918,050","612,199,580",19.23,19.31,19.11,19.31,-0.01,"16,929"
111/03/29,"14,942,565","288,133,071",19.32,19.33,19.25,19.26,-0.05,"8,282"
111/03/30,"15,070,873","291,823,991",19.34,19.40,19.33,19.37,+0.11,"5,783"
111/03/31,"18,080,369","350,658,326",19.38,19.42,19.35,19.35,-0.02,"7,056"
111/04/01,"19,583,848","377,728,106",19.27,19.34,19.20,19.34,-0.01,"9,584"
111/04/06,"27,179,599","525,168,377",19.30,19.41,19.24,19.40,+0.06,"14,848"
111/04/07,"38,663,608","746,727,298",19.35,19.42,19.23,19.23,-0.17,"20,989"
111/04/08,"15,626,889","301,040,098",19.30,19.33,19.20,19.32,+0.09,"7,414"
111/04/11,"40,635,162","780,921,760",19.34,19.39,19.12,19.20,-0.12,"22,112"
111/04/12,"36,206,853","692,449,740",19.18,19.18,19.10,19.11,-0.09,"21,484"
111/04/13,"16,387,608","315,329,722",19.18,19.29,19.17,19.27,+0.16,"7,785"
111/04/14,"29,080,630","557,550,427",19.29,19.29,19.12,19.12,-0.15,"14,969"
111/04/15,"38,370,033","730,467,594",19.08,19.11,19.00,19.03,-0.09,"23,858"
111/04/18,"66,339,977","1,254,901,713",19.00,19.00,18.85,18.92,-0.11,"38,002"
111/04/19,"21,672,446","411,735,365",18.95,19.07,18.95,18.95,+0.03,"10,627"
111/04/20,"27,547,257","521,207,396",18.97,19.00,18.87,18.97,+0.02,"14,426"
111/04/21,"19,840,675","376,514,112",19.03,19.05,18.95,18.97, 0.00,"9,742"
111/04/22,"34,841,943","657,529,940",18.85,19.01,18.80,19.00,+0.03,"16,642"
111/04/25,"77,150,627","1,444,669,925",18.76,18.79,18.66,18.75,-0.25,"44,382"
111/04/26,"24,546,644","461,759,763",18.79,18.87,18.77,18.80,+0.05,"12,712"
111/04/27,"66,854,455","1,244,438,039",18.65,18.68,18.55,18.60,-0.20,"38,148"
111/04/28,"28,628,605","532,437,052",18.60,18.69,18.53,18.67,+0.07,"14,049"
111/04/29,"31,496,676","591,580,793",18.79,18.85,18.72,18.82,+0.15,"9,827"
