日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,5MA,10MA,20MA,60MA
111/01/03,"7,064,552","1,034,974,917",146.0,147.35,146.0,146.4,+0.90,"8,298",,,,
111/01/04,"10,122,789","1,507,398,153",147.7,149.6,147.7,149.6,+3.20,"10,438",,,,
111/01/05,"11,730,618","1,755,680,824",150.1,150.55,149.1,149.3,-0.30,"12,614",,,,
111/01/06,"9,085,138","1,342,084,958",148.3,148.75,147.0,147.9,-1.40,"13,496",,,,
111/01/07,"7,435,645","1,095,365,963",148.3,149.0,146.5,146.6,-1.30,"12,008",147.96,,,
111/01/10,"15,979,639","2,346,043,879",146.0,147.8,145.4,147.55,+0.95,"8,675",148.19000000000003,,,
111/01/11,"17,984,061","2,655,717,032",147.6,148.5,146.7,148.3,+0.75,"8,365",147.93000000000004,,,
111/01/12,"10,326,119","1,541,003,375",149.35,149.6,148.7,149.55,+1.25,"6,551",147.98000000000008,,,
111/01/13,"7,680,333","1,152,220,355",149.55,150.45,149.55,150.3,+0.75,"7,281",148.46000000000006,,,
111/01/14,"10,400,081","1,560,843,189",150.8,151.2,149.05,150.3, 0.00,"9,178",149.20000000000007,148.57999999999998,,
111/01/17,"7,202,412","1,093,229,361",151.1,152.4,151.1,152.0,+1.70,"9,817",150.09000000000006,149.14,,
111/01/18,"14,811,991","2,242,827,500",152.2,152.25,150.15,150.3,-1.70,"12,127",150.49000000000007,149.20999999999998,,
111/01/19,"15,371,288","2,288,127,587",149.0,149.65,148.25,148.5,-1.80,"18,846",150.28000000000006,149.13,,
111/01/20,"16,845,120","2,499,682,717",148.5,149.2,147.6,149.1,+0.60,"16,497",150.04000000000005,149.24999999999997,,
111/01/21,"32,475,644","4,649,317,826",143.9,143.95,142.3,142.65,X0.00,"53,966",148.51000000000005,148.855,,
111/01/24,"13,767,241","1,965,019,247",142.1,144.0,141.7,144.0,+1.35,"17,460",146.91000000000003,148.5,,
111/01/25,"25,646,145","3,632,621,711",142.55,142.55,141.25,141.65,-2.35,"39,744",145.18,147.835,,
111/01/26,"18,559,075","2,629,997,366",141.15,142.2,141.05,141.55,-0.10,"21,586",143.79000000000002,147.03500000000003,,
111/01/03,"7,064,552","1,034,974,917",146.0,147.35,146.0,146.4,+0.90,"8,298",143.25,146.64500000000004,,
111/01/04,"10,122,789","1,507,398,153",147.7,149.6,147.7,149.6,+3.20,"10,438",144.64000000000001,146.57500000000002,147.57750000000001,
111/01/05,"11,730,618","1,755,680,824",150.1,150.55,149.1,149.3,-0.30,"12,614",145.7,146.305,147.72250000000003,
111/01/06,"9,085,138","1,342,084,958",148.3,148.75,147.0,147.9,-1.40,"13,496",146.95,146.06500000000003,147.63750000000002,
111/01/07,"7,435,645","1,095,365,963",148.3,149.0,146.5,146.6,-1.30,"12,008",147.95999999999998,145.87500000000003,147.5025,
111/01/10,"15,979,639","2,346,043,879",146.0,147.8,145.4,147.55,+0.95,"8,675",148.19,145.72000000000003,147.485,
111/01/11,"17,984,061","2,655,717,032",147.6,148.5,146.7,148.3,+0.75,"8,365",147.93,146.28500000000003,147.57000000000002,
111/01/12,"10,326,119","1,541,003,375",149.35,149.6,148.7,149.55,+1.25,"6,551",147.98000000000002,146.84,147.67000000000002,
111/01/13,"7,680,333","1,152,220,355",149.55,150.45,149.55,150.3,+0.75,"7,281",148.46,147.70499999999998,147.77000000000004,
111/01/14,"10,400,081","1,560,843,189",150.8,151.2,149.05,150.3, 0.00,"9,178",149.20000000000002,148.57999999999998,147.80750000000003,
111/01/17,"7,202,412","1,093,229,361",151.1,152.4,151.1,152.0,+1.70,"9,817",150.09,149.14,147.8925,
111/01/18,"14,811,991","2,242,827,500",152.2,152.25,150.15,150.3,-1.70,"12,127",150.49,149.20999999999998,147.8925,
111/01/19,"15,371,288","2,288,127,587",149.0,149.65,148.25,148.5,-1.80,"18,846",150.28000000000003,149.13,147.71750000000003,
111/01/20,"16,845,120","2,499,682,717",148.5,149.2,147.6,149.1,+0.60,"16,497",150.04000000000002,149.24999999999997,147.6575,
111/01/21,"32,475,644","4,649,317,826",143.9,143.95,142.3,142.65,X0.00,"53,966",148.51,148.855,147.365,
111/01/24,"13,767,241","1,965,019,247",142.1,144.0,141.7,144.0,+1.35,"17,460",146.91,148.5,147.11,
111/01/25,"25,646,145","3,632,621,711",142.55,142.55,141.25,141.65,-2.35,"39,744",145.17999999999998,147.835,147.06,
111/01/26,"18,559,075","2,629,997,366",141.15,142.2,141.05,141.55,-0.10,"21,586",143.78999999999996,147.03500000000003,146.93750000000003,
111/02/07,"25,312,461","3,593,629,562",142.6,142.8,141.2,142.3,+0.75,"27,821",142.42999999999995,146.235,146.97000000000003,
111/02/08,"11,521,967","1,648,442,209",143.3,143.5,142.8,142.9,+0.60,"12,271",142.47999999999996,145.49500000000003,147.03750000000002,
111/02/09,"8,470,497","1,211,943,126",143.5,143.5,142.65,143.4,+0.50,"10,362",142.35999999999996,144.63500000000005,146.88750000000002,
111/02/10,"6,325,130","912,680,055",143.9,145.05,143.5,145.05,+1.65,"9,065",143.03999999999994,144.11000000000004,146.66000000000003,
111/02/11,"4,556,282","659,321,520",144.7,145.05,144.05,144.95,-0.10,"6,376",143.71999999999994,143.75500000000005,146.44250000000002,
111/02/14,"12,907,152","1,841,179,721",143.95,143.95,142.2,142.7,-2.25,"23,175",143.79999999999995,143.11500000000007,146.1825,
111/02/15,"8,139,525","1,160,338,475",142.7,143.2,141.95,142.05,-0.65,"16,664",143.62999999999994,143.05500000000004,145.955,
111/02/16,"6,906,308","995,478,507",143.9,144.45,143.8,144.4,+2.35,"9,252",143.82999999999996,143.09500000000006,145.7975,
